"","Df","SumOfSqs","R2","F","Pr(>F)"
"Model",16,605.520041769143,0.338657741481624,9.02534597892745,0.001
"Residual",282,1182.47995823086,0.661342258518376,NA,NA
"Total",298,1788,1,NA,NA
