"","Df","SumOfSqs","R2","F","Pr(>F)"
"Model",14,630.064747305367,0.352385205428057,11.0380208354431,0.001
"Residual",284,1157.93525269463,0.647614794571942,NA,NA
"Total",298,1788,1,NA,NA
