"","Df","SumOfSqs","R2","F","Pr(>F)"
"Model",4,99.2392351288121,0.0555029279243916,4.31919306375172,0.001
"Residual",294,1688.76076487119,0.944497072075608,NA,NA
"Total",298,1788,1,NA,NA
