"","Df","SumOfSqs","R2","F","Pr(>F)"
"Model",17,652.932120607731,0.365174564098284,9.50831582134656,0.001
"Residual",281,1135.06787939227,0.634825435901716,NA,NA
"Total",298,1788,1,NA,NA
