site_name,reporting_area,latitude,longitude,p450,p450_z,p450_ai,sod,sod_z,sod_ai,shell,shell_z,shell_ai,ci1,ci1_z,ci1_ai,ci2,ci2_z,ci2_ai,ci3,ci3_z,ci3_ai
Elliot Bay Myrtle Edwards,10,47.61862,-122.36108,2435519.6,-0.973573859,0.044856547,11.726,0.892686352,0.186424251,0.824,0.374894491,2.058332347,35.04,0.513699076,0.648940737,0.6948,0.234827141,0.341265393,0.0582,1.007526972,0.159634677
"Elliott Bay, Harbor Island, Pier 17",10,47.58766,-122.35065,9192957.75,1.121061005,2.139491412,5.5,-0.446041891,1.525152494,0.85625,0.679745091,2.363182947,34.215,0.179089008,0.31433067,0.65325,-1.349483146,1.92557568,0.0465,-1.660652637,2.508544932
Everett Harbor,8.2,47.9726,-122.22977,5813892.75,0.073636345,1.092066751,2.31775,-1.1302963,2.209406903,0.77625,-0.076473452,1.606964404,34.2575,0.196326497,0.331568158,0.65825,-1.158832089,1.734924622,0.04925,-1.033516404,1.881408699
"Fidalgo Bay Aq Reserve, Weaverling Spit",7,48.482448,-122.583879,3181280,-0.742407003,0.276023404,11.87725,0.925208461,0.153902143,0.7625,-0.206448514,1.476989342,37.1425,1.366447763,1.501689425,0.712,0.890666778,0.314574245,0.05525,0.334780832,0.513111463
Filucy Bay,13,47.19483,-122.748665,10877772,1.643310797,2.661741203,5.009,-0.551617793,1.630728396,0.85625,0.679745091,2.363182947,36.8175,1.234631676,1.369873337,0.6525,-1.378080805,1.954173338,0.04575,-1.831689791,2.679582086
Friday Harbor,7,48.5069444,-123.0194444,5444136.6,-0.040978707,0.9774517,6.7096,-0.185951033,1.265061636,0.75,-0.324607661,1.358830194,32.616,-0.469446141,0.33420448,0.6726,-0.611663554,1.187756088,0.0458,-1.820287314,2.668179609
Gig Harbor Boat Launch,11,47.33785,-122.58277,3843185.75,-0.537232967,0.48119744,14.972,1.590648427,0.511537824,0.965,1.707729673,3.391167529,30.2725,-1.419941527,1.284699866,0.62675,-2.359933751,2.936026284,0.05225,-0.349367786,1.197260081
Hood Canal Holly,12,47.5706,-122.9717,1596840.167,-1.233543265,0.215112858,1.640416667,-1.275938006,2.355048609,0.676666667,-1.017807989,0.665629867,34.305,0.215591925,0.350833586,0.689833333,0.045447078,0.530645456,0.054833333,0.239760114,0.608132181
Jamestown,6,48.024789,-122.998135,3175079,-0.744329156,0.274101251,7.752666667,0.038331461,1.040779142,0.573333333,-1.99459028,0.311152424,33.86166667,0.035781264,0.171022925,0.7035,0.56655998,0.009532553,0.054833333,0.239760114,0.608132181
Kingston Marina,10,47.794695,-122.499858,5460804.75,-0.035812002,0.982618405,4.371,-0.688801959,1.767912563,0.81125,0.254372161,1.937810016,31.25,-1.023479295,0.888237634,0.63675,-1.978631636,2.554724169,0.04825,-1.261565943,2.109458238
Kitsap St Boat Launch,10,47.54167,-122.64034,2852984.25,-0.84417038,0.174260027,10.748,0.682394637,0.396715967,0.8325,0.455242711,2.138680567,32.885,-0.360342979,0.225101318,0.71075,0.843004014,0.26691148,0.05175,-0.463392556,1.311284851
Kopachuck State Park,13,47.30973,-122.68868,7013734.75,0.445557009,1.463987416,4.72575,-0.612522832,1.691633436,0.7775,-0.064657537,1.618780319,30.045,-1.512212788,1.376971127,0.67975,-0.339032542,0.915125076,0.05425,0.106731292,0.741161003
Lions Park,10,47.5833538,-122.6414587,6373166.5,0.246997058,1.265427464,10.424,0.612727442,0.466383161,0.75,-0.324607661,1.358830194,27.645,-2.485623894,2.350382232,0.678,-0.405760412,0.981852946,0.05375,-0.007293477,0.855185772
Locust Beach,7,48.77636877,-122.5378679,2368800.25,-0.99425517,0.024175237,6.15025,-0.306223703,1.385334306,0.6875,-0.915403398,0.768034458,32.66,-0.451600271,0.316358609,0.731,1.615140796,1.039048263,0.047,-1.546627867,2.394520162
Madrona Pont,10,47.57995505,-122.6786,7017559.75,0.446742662,1.465173069,4.52025,-0.656709895,1.735820499,0.805,0.195292587,1.878730443,32.025,-0.709148626,0.573906964,0.66025,-1.082571666,1.658664199,0.0455,-1.888702176,2.736594471
"Manchester, Stormwater Outfall",10,47.55622,-122.54281,7715455.75,0.663072765,1.681503172,3.407625,-0.895948975,1.975059578,0.60625,-1.683437856,0,34.17,0.16083755,0.296079211,0.73075,1.605608243,1.02951571,0.062,1.874115222,1.026222927
Maple Hollow Park,13,47.30008,-122.74566,12906891.5,2.272286505,3.290716912,4.6215,-0.634938897,1.7140495,0.775,-0.088289367,1.595148489,36.405,1.067326642,1.202568304,0.71025,0.823938908,0.247846375,0.05425,0.106731292,0.741161003
Maristone Island,9,48.018127,-122.699524,4711148.333,-0.268186525,0.750243881,5.722,-0.398306961,1.477417565,0.699166667,-0.805121524,0.878316332,33.65333333,-0.048716231,0.08652543,0.7255,1.405424633,0.8293321,0.055666667,0.429801549,0.418090746
"Meyer's Point, Henderson Inlet",13,47.11795,-122.83359,2252669.75,-1.030252687,0.01182228,15.21175,1.6422,0.563089397,0.78875,0.041685696,1.725123551,35.8875,0.857434873,0.992676534,0.7025,0.528429769,0.047662764,0.05625,0.562830371,0.285061924
Miller Creek,11,47.4436,-122.360316,15899206.5,3.19982845,4.218258857,4.015375,-0.765269231,1.844379834,0.82125,0.348899479,2.032337334,34.2125,0.178075038,0.3133167,0.6955,0.261518289,0.314574245,0.05575,0.448805601,0.399086694
Minter Bay,13,47.3539722,-122.69175,8029787,0.7605075,1.778937907,5.00975,-0.551456526,1.63056713,0.9175,1.258724913,2.942162769,36.9575,1.291413991,1.426655652,0.6505,-1.454341228,2.030433761,0.051,-0.63442971,1.482322005
Mukilteo,8.2,47.94968,-122.30158,8713508,0.972443712,1.990874119,7.6065,0.006902382,1.072208221,0.79125,0.065317525,1.748755381,32.595,-0.477963488,0.342721827,0.699,0.394974029,0.181118505,0.05075,-0.691442095,1.53933439
N Avenue Park,7,48.52108,-122.61531,6764939.25,0.368436698,1.386867105,1.446375,-1.317661273,2.396771876,0.8225,0.360715393,2.044153249,36.6475,1.165681723,1.300923384,0.6935,0.185257866,0.390834668,0.057,0.733867525,0.11402477
North Camano,8.1,48.255358,-122.507014,12423809,2.122543152,3.140973559,0.75175,-1.467021072,2.546131675,0.7675,-0.159184855,1.524253001,32.4425,-0.539815652,0.404573991,0.70175,0.49983211,0.076260423,0.05225,-0.349367786,1.197260081
Oak Bay County Park,9,48.02218,-122.728709,2335225.75,-1.004662415,0.013767991,11.8395,0.917091372,0.162019231,0.77375,-0.100105281,1.583332574,34.77,0.404190327,0.539431988,0.6845,-0.157914038,0.734006571,0.056,0.505817986,0.342074309
Penn Cove Reference,8.1,48.21423,-122.718972,2290809.25,-1.018430407,0,12.593,1.079110603,0,0.60625,-1.683437856,0,33.44,-0.135241661,0,0.70375,0.576092533,0,0.0575,0.847892295,0
