site_number,site_name,reporting_area,latitude,longitude,p450,sod,shell,weight_initial,weight_change,weight_final,length,height,width,ci1,ci2,ci3,z_ci1,z_ci2,z_ci3,ai_z_ci1,ai_z_ci2,ai_z_ci3
8,Chimacum Creek delta,9,48.04906,-122.7724,2641298.75,1.903875,0.90375,14.7475,9.42125,5.32625,56.24,20.675,24.945,32.1025,0.63525,0.052,-0.677715559,-2.035826953,-0.406380171,0.542473897,2.611919486,1.254272466
74,"Chuckanut, Clark's Point",7,48.68975,-122.50434,2740842.75,11.211,0.7275,14.57175,10.023,4.54875,56.82,20.2325,25.6675,33.8,0.69025,0.055,0.010770005,0.061334678,0.277768447,0.146011666,0.514757855,0.570123848
45,Commencement Bay Skookum,11,47.29,-122.41,5884345.75,9.0745,0.755,12.44525,8.3025,4.14275,54.015,18.9175,24.865,32.655,0.66725,0.053,-0.45362821,-0.815660186,-0.178330632,0.318386549,1.391752719,1.026222927
48,"Commencement Bay, Dick Gilmur Launch",11,47.292549,-122.412175,3653913.5,14.00875,0.8325,15.7915,11.19275,4.599,59.73,20.3275,26.545,34.4975,0.70825,0.05225,0.293667607,0.747678485,-0.349367786,0.428909268,0.171585952,1.197260081
49,"Commencement Bay, Milwaukee Waterway",11,47.2694,-122.4243,7394026.6,8.1685,0.821,13.0952,8.8386,4.2566,54.804,18.138,24.774,35.642,0.6736,0.0534,0.757863028,-0.573533343,-0.087110816,0.893104689,1.149625876,0.935003111
21,Des Moines Marina,11,47.40301418,-122.3305538,8935555.25,8.79275,0.995,14.1205,9.2275,4.893,57.33,19.0075,26.3575,32.14,0.653,0.049,-0.66250601,-1.359015699,-1.090528789,0.527264349,1.935108233,1.938421084
12,Discovery Bay,6,48.064957,-122.857524,3982486.25,9.3325,0.79375,16.212,11.08375,5.12825,57.3975,20.535,27.7575,33.9175,0.68325,0.059,0.05842659,-0.205576802,1.189966604,0.193668251,0.781669335,0.342074309
44,Donkey Creek Delta,11,47.33775,-122.59014,3830029,2.500625,0.73375,14.9235,10.61625,4.3075,58.8675,19.38,27.055,34.5325,0.71175,0.052,0.307863186,0.881134225,-0.406380171,0.443104847,0.305041692,1.254272466
31,Eagle Harbor Dr,10,47.61889,-122.5275,1846400.75,12.60975,0.8925,13.76675,9.68075,4.08625,54.8775,16.735,23.6625,44.34,0.70175,0.058,4.285667111,0.49983211,0.961917065,4.420908772,0.076260423,0.11402477
60,"Eastsound, Fishing Bay",7,48.69368,-122.90985,3018580.5,7.731875,0.465,11.8205,8.0905,3.73,54.7375,18.7625,24.3325,32.3575,0.68475,0.0495,-0.574290629,-0.148381485,-0.976504019,0.439048967,0.724474018,1.824396314
69,Edmonds Ferry,9,47.81407,-122.3825,8264243.75,0.206375,0.69,14.47725,10.1775,4.3,56.1975,19.5675,23.985,38.3775,0.703,0.057,1.867348895,0.547494875,0.733867525,2.002590556,0.028597659,0.11402477
68,Edmonds Marina,9,47.8111,-122.388,16840952.75,13.85375,0.765,13.11825,9.12825,3.99,56.1175,18.49,25.7325,34.205,0.69675,0.0515,0.175033129,0.309181053,-0.520404941,0.31027479,0.26691148,1.368297236
72,Eld Inlet,13,47.074603,-123.003527,9802343.25,9.86125,0.7075,17.22025,12.35375,4.86625,58.03,21.505,28.88,33.765,0.7155,0.06225,-0.003425574,1.024122518,1.931127606,0.131816087,0.448029985,1.083235312
19,Elliot Bay Myrtle Edwards,10,47.61862,-122.36108,2435519.6,11.726,0.824,15.449,10.7418,4.707,56.626,20.654,25.88,35.04,0.6948,0.0582,0.513699076,0.234827141,1.007526972,0.648940737,0.341265393,0.159634677
14,"Elliott Bay, Harbor Island, Pier 17",10,47.58766,-122.35065,9192957.75,5.5,0.85625,14.71475,9.5905,5.12425,58.9075,19.14,24.76,34.215,0.65325,0.0465,0.179089008,-1.349483146,-1.660652637,0.31433067,1.92557568,2.508544932
66,Everett Harbor,8.2,47.9726,-122.22977,5813892.75,2.31775,0.77625,12.00475,7.91175,4.09325,54.335,17.755,23.895,34.2575,0.65825,0.04925,0.196326497,-1.158832089,-1.033516404,0.331568158,1.734924622,1.881408699
63,"Fidalgo Bay Aq Reserve, Weaverling Spit",7,48.482448,-122.583879,3181280,11.87725,0.7625,13.663,9.7325,3.93075,56.08,19.3575,24.1325,37.1425,0.712,0.05525,1.366447763,0.890666778,0.334780832,1.501689425,0.314574245,0.513111463
59,Filucy Bay,13,47.19483,-122.748665,10877772,5.009,0.85625,14.28075,9.41175,4.869,58.49,19.06,22.7,36.8175,0.6525,0.04575,1.234631676,-1.378080805,-1.831689791,1.369873337,1.954173338,2.679582086
61,Friday Harbor,7,48.5069444,-123.0194444,5444136.6,6.7096,0.75,12.1138,8.241,3.8728,56.408,18.574,23.89,32.616,0.6726,0.0458,-0.469446141,-0.611663554,-1.820287314,0.33420448,1.187756088,2.668179609
58,Gig Harbor Boat Launch,11,47.33785,-122.58277,3843185.75,14.972,0.965,13.38425,8.3875,4.9975,54.325,19.445,26.1875,30.2725,0.62675,0.05225,-1.419941527,-2.359933751,-0.349367786,1.284699866,2.936026284,1.197260081
29,Hood Canal Holly,12,47.5706,-122.9717,1596840.167,1.640416667,0.676666667,16.26683333,11.226,5.040833333,59,20.72666667,26.75666667,34.305,0.689833333,0.054833333,0.215591925,0.045447078,0.239760114,0.350833586,0.530645456,0.608132181
2,Jamestown,6,48.024789,-122.998135,3175079,7.752666667,0.573333333,13.94633333,9.8345,4.111833333,56.42166667,19.65166667,26.16833333,33.86166667,0.7035,0.054833333,0.035781264,0.56655998,0.239760114,0.171022925,0.009532553,0.608132181
36,Kingston Marina,10,47.794695,-122.499858,5460804.75,4.371,0.81125,15.20425,9.717,5.48725,58.5325,20.73,25.615,31.25,0.63675,0.04825,-1.023479295,-1.978631636,-1.261565943,0.888237634,2.554724169,2.109458238
25,Kitsap St Boat Launch,10,47.54167,-122.64034,2852984.25,10.748,0.8325,15.1685,10.762,4.4065,60.055,20.58,27.9575,32.885,0.71075,0.05175,-0.360342979,0.843004014,-0.463392556,0.225101318,0.26691148,1.311284851
52,Kopachuck State Park,13,47.30973,-122.68868,7013734.75,4.72575,0.7775,15.15675,10.3005,4.8566,57.1825,23.3675,29.155,30.045,0.67975,0.05425,-1.512212788,-0.339032542,0.106731292,1.376971127,0.915125076,0.741161003
37,Lions Park,10,47.5833538,-122.6414587,6373166.5,10.424,0.75,11.463,7.80225,3.661,52.5125,21.89,25.035,27.645,0.678,0.05375,-2.485623894,-0.405760412,-0.007293477,2.350382232,0.981852946,0.855185772
76,Locust Beach,7,48.77636877,-122.5378679,2368800.25,6.15025,0.6875,14.03325,10.24025,3.793,59.9525,19.2975,26.625,32.66,0.731,0.047,-0.451600271,1.615140796,-1.546627867,0.316358609,1.039048263,2.394520162
28,Madrona Pont,10,47.57995505,-122.6786,7017559.75,4.52025,0.805,13.83075,9.1675,4.66325,57.9625,19.52,24.6525,32.025,0.66025,0.0455,-0.709148626,-1.082571666,-1.888702176,0.573906964,1.658664199,2.736594471
33,"Manchester, Stormwater Outfall",10,47.55622,-122.54281,7715455.75,3.407625,0.60625,15.4415,11.27875,4.16275,56.62,21.35,27.255,34.17,0.73075,0.062,0.16083755,1.605608243,1.874115222,0.296079211,1.02951571,1.026222927
