"sample_id","site_number","site_name","reporting_area","latitude","longitude","t_p450","t_sod","t_shell","t_weight_initial","t_weight_change","t_weight_final","t_length","t_height","t_width","t_ci1","t_ci2","t_ci3","tc_p450","tc_sod","tc_shell","tc_weight_initial","tc_weight_change","tc_weight_final","tc_length","tc_height","tc_width","tc_ci1","tc_ci2","tc_ci3","ai_tc_p450","ai_tc_sod","ai_tc_shell","ai_tc_weight_initial","ai_tc_weight_change","ai_tc_weight_final","ai_tc_length","ai_tc_height","ai_tc_width","ai_tc_ci1","ai_tc_ci2","ai_tc_ci3","ibr_biomarker","ibr_morphometric","ibr_total"
"239","77","Aiston Preserve","7",48.6793778,-122.6300583,23.2119574896566,-8.64385618977473,-0.514573172829758,3.54695617814141,3.07141945648989,1.71501474991089,5.75221336786514,4.21645486514476,4.50652577904312,5.20593983247088,-0.475936324222789,-4.21089678249862,2.24408248278911,-12.0297124170774,0.207442079870476,-0.466952667349228,-0.436216637080715,-0.542373092781758,-0.113272474260564,-0.183016870710861,-0.283724959792107,0.143703448894401,0.0313030199090039,-0.0906025487809075,2.24408248278911,12.0297124170774,0.207442079870476,0.466952667349228,0.436216637080715,0.542373092781758,0.113272474260564,0.183016870710861,0.283724959792107,0.143703448894401,0.0313030199090039,0.0906025487809075,14.2737948998665,1.22367302171472,15.4974679215812
"240","77","Aiston Preserve","7",48.6793778,-122.6300583,20.3738985074244,2.28599397237378,-0.340075441597622,3.43736092100771,2.87813676662695,1.7995018140616,5.74119729857143,4.19849415363908,4.58014548442338,4.96809075204526,-0.558516520417355,-4.38082178394093,-0.593976499443144,-1.09986225492887,0.381939811102613,-0.57654792448293,-0.629499326943655,-0.457886028631056,-0.124288543554281,-0.200977582216535,-0.210105254411849,-0.0941456315312266,-0.0512771762855619,-0.26052755022322,0.593976499443144,1.09986225492887,0.381939811102613,0.57654792448293,0.629499326943655,0.457886028631056,0.124288543554281,0.200977582216535,0.210105254411849,0.0941456315312266,0.0512771762855619,0.26052755022322,1.69383875437201,1.54681051822893,3.24064927260094
"241","77","Aiston Preserve","7",48.6793778,-122.6300583,22.2287247619799,3.14909674417939,-0.277533975528909,3.87813676662695,3.3188952496983,2.24031432933371,5.80709727493827,4.29057185085208,4.79649392942584,5.03430376776804,-0.558516520417355,-4.13289427049735,1.26084975511236,-0.236759483123253,0.444481277171326,-0.135772078863691,-0.188740843872298,-0.0170735133589415,-0.0583885671874391,-0.108899885003539,0.00624319059060774,-0.0279326158084476,-0.0512771762855619,-0.0126000367796344,1.26084975511236,0.236759483123253,0.444481277171326,0.135772078863691,0.188740843872298,0.0170735133589415,0.0583885671874391,0.108899885003539,0.00624319059060774,0.0279326158084476,0.0512771762855619,0.0126000367796344,1.49760923823561,0.80675376382521,2.30436300206082
"242","77","Aiston Preserve","7",48.6793778,-122.6300583,21.4483835345578,-6.64385618977472,-0.104697378666693,3.86908175369993,3.34568023078636,2.1525079483649,5.87159726561385,4.28909670241999,4.82680268428583,4.9676297534662,-0.522840788813359,-4.29335894269059,0.480508527690237,-10.0297124170774,0.617317874033542,-0.144827091790708,-0.161955862784245,-0.104879894327749,0.00611142348814564,-0.110375033435628,0.0365519454505971,-0.0946066301102855,-0.0156014446815657,-0.17306470897288,0.480508527690237,10.0297124170774,0.617317874033542,0.144827091790708,0.161955862784245,0.104879894327749,0.00611142348814564,0.110375033435628,0.0365519454505971,0.0946066301102855,0.0156014446815657,0.17306470897288,10.5102209447676,0.932312139192157,11.4425330839598
"281","13","Arroyo Beach","11",47.50161,-122.38593,21.6473824467221,2.82456421208983,-0.120294233717712,3.95196072878113,3.44015490868031,2.20851725980554,5.86145916636151,4.33342373372519,4.70653055253812,5.14852742516046,-0.512513650651464,-4.18442457113743,0.6795074398546,-0.561292015212819,0.601721018982523,-0.0619481167095097,-0.0674811848902928,-0.0488705828871079,-0.00402667576419447,-0.0660480021304268,-0.0837201862971124,0.0862910415839808,-0.00527430651967076,-0.0641303374197157,0.6795074398546,0.561292015212819,0.601721018982523,0.0619481167095097,0.0674811848902928,0.0488705828871079,0.00402667576419447,0.0660480021304268,0.0837201862971124,0.0862910415839808,0.00527430651967076,0.0641303374197157,1.24079945506742,0.82299706806455,2.06379652313197
"282","13","Arroyo Beach","11",47.50161,-122.38593,22.6285111766973,-0.655171503002559,-0.0513991525066443,4.16591193893569,3.56608449051547,2.61046384518116,5.91719303692495,4.47897180503294,4.78450398292957,4.99503219247754,-0.599462070416271,-4.21089678249862,1.66063616982982,-4.04102773030521,0.67061610019359,0.15200309344505,0.0584483969448644,0.353076002488513,0.0517071947992394,0.0795000691773238,-0.00574675590566365,-0.0672041910989467,-0.092222726284478,-0.0906025487809075,1.66063616982982,4.04102773030521,0.67061610019359,0.15200309344505,0.0584483969448644,0.353076002488513,0.0517071947992394,0.0795000691773238,0.00574675590566365,0.0672041910989467,0.092222726284478,0.0906025487809075,5.70166390013502,0.866018517020682,6.5676824171557
"283","13","Arroyo Beach","11",47.50161,-122.38593,23.0495494633357,3.57094860517333,-0.217591435072627,4.07673010147814,3.44373924602935,2.58327837390834,5.81198471935167,4.46727948045998,4.8293421939028,4.94485844580754,-0.63262893435147,-4.0350469470992,2.08167445646814,0.185092377870681,0.504423817627608,0.0628212559875045,-0.0638968475412538,0.325890531215692,-0.0535011227740334,0.0678077446043641,0.0390914550675729,-0.117377937768944,-0.125389590219677,0.0852472866185101,2.08167445646814,0.185092377870681,0.504423817627608,0.0628212559875045,0.0638968475412538,0.325890531215692,0.0535011227740334,0.0678077446043641,0.0390914550675729,0.117377937768944,0.125389590219677,0.0852472866185101,2.26676683433882,0.728720987614832,2.99548782195365
"284","13","Arroyo Beach","11",47.50161,-122.38593,20.7903198574233,2.60880924267552,-0.0664273617389761,4.14420956118307,3.5765221379205,2.52406367577721,5.88655014732434,4.40394936423287,4.78972925137577,5.10601323762212,-0.567040592723894,-4.10780328953452,-0.17755514944422,-0.777046984627122,0.655587890961259,0.13030071569243,0.0688860443499006,0.266675833084559,0.0210643051986352,0.00447762837724675,-0.000521487459460346,0.0437768540456362,-0.0598012485921006,0.0124909441831962,0.17755514944422,0.777046984627122,0.655587890961259,0.13030071569243,0.0688860443499006,0.266675833084559,0.0210643051986352,0.00447762837724675,0.000521487459460346,0.0437768540456362,0.0598012485921006,0.0124909441831962,0.954602134071343,0.750537356346502,1.70513949041784
"285","13","Arroyo Beach","11",47.50161,-122.38593,20.9223688080803,3.93404464711225,-0.192645077942396,3.45601757580779,2.71786831273266,2.13586316536868,5.85648777949568,4.21878116778407,4.62527048937469,4.62702310555406,-0.736965594166206,-4.87832144341175,-0.0455061987872227,0.548188419809599,0.529370174757839,-0.557891269682854,-0.78976778083794,-0.121524677323972,-0.00899806263002922,-0.180690568071549,-0.164980249460537,-0.435213278022423,-0.229726250034413,-0.758027209694037,0.0455061987872227,0.548188419809599,0.529370174757839,0.557891269682854,0.78976778083794,0.121524677323972,0.00899806263002922,0.180690568071549,0.164980249460537,0.435213278022423,0.229726250034413,0.758027209694037,0.593694618596821,1.67380683575789,2.26750145435472
"286","13","Arroyo Beach","11",47.50161,-122.38593,22.5763706260797,-8.64385618977473,-0.63262893435147,3.66231945210744,3.17712050284652,1.8543946777531,5.795195490817,4.19377174339668,4.6876206320849,5.1101961777542,-0.486004020632987,-4.23786383009889,1.60849561921218,-12.0297124170774,0.0893863183487643,-0.351589393383199,-0.330515590724086,-0.402993164939551,-0.0702903513087021,-0.205699992458938,-0.102630106750334,0.0479597941777161,0.0212353234988057,-0.117569596381177,1.60849561921218,12.0297124170774,0.0893863183487643,0.351589393383199,0.330515590724086,0.402993164939551,0.0702903513087021,0.205699992458938,0.102630106750334,0.0479597941777161,0.0212353234988057,0.117569596381177,13.6382080362895,0.798522359590825,14.4367303958804
