site_number,site_name,reporting_area,latitude,longitude,p450,sod,shell,ci1,ci2,ci3,ibr_biomarker,ibr_morphometric,ibr_combined,chlordane_index,ddt_index,hch_index,heavy_metal_index,nutrient_metal_index,total_metal_index,pah_lmw_index,pah_hmw_index,pah_add_index,total_pah_index,pbde_index,pcb_index,pesticide_index
31,Eagle Harbor Dr,10,47.61889,-122.5275,1846400.75,12.60975,0.8925,44.34,0.70175,0.058,0.141357013,15.68085242,15.82220943,0,1.856249477,0,8.375062562,4.667536158,13.04259872,5.866159193,10.83733451,2.976947376,19.68044108,0.865306945,21.15314861,0
60,"Eastsound, Fishing Bay",7,48.69368,-122.90985,3018580.5,7.731875,0.465,32.3575,0.68475,0.0495,1.270840487,15.84841372,17.11925421,0,0.761506611,0,6.953698357,1.708637575,8.662335932,5.384855666,2.605629344,4.249163265,12.23964828,1.825747338,18.88337168,0
69,Edmonds Ferry,9,47.81407,-122.3825,8264243.75,0.206375,0.69,38.3775,0.703,0.057,4.515012977,9.08029154,13.59530452,0,1.187950313,0,7.609835758,2.220439367,9.830275125,5.360383189,2.739010908,6.342332139,14.44172624,2.940426286,16.41302245,0
68,Edmonds Marina,9,47.8111,-122.388,16840952.75,13.85375,0.765,34.205,0.69675,0.0515,4.781265612,12.08185786,16.86312347,0,1.705590193,1.257904445,9.656471984,2.223556528,11.88002851,6.600606766,4.587933111,4.765667523,15.9542074,7.657255506,14.50623998,0
72,Eld Inlet,13,47.074603,-123.003527,9802343.25,9.86125,0.7075,33.765,0.7155,0.06225,2.915772405,4.12756928,7.043341686,0,0.82242714,0,6.51458531,1.473348363,7.987933672,5.416892734,1.358354989,3.366026298,10.14127402,0,18.0237737,0
19,Elliot Bay Myrtle Edwards,10,47.61862,-122.36108,2435519.6,11.726,0.824,35.04,0.6948,0.0582,0.231280798,5.849291553,6.080572352,0,9.944067469,0,8.991998361,0.861932291,9.853930652,61.59620522,101.0506419,26.01950621,188.6663533,2.935397503,78.90394768,1.605415019
14,"Elliott Bay, Harbor Island, Pier 17",10,47.58766,-122.35065,9192957.75,5.5,0.85625,34.215,0.65325,0.0465,3.664643906,9.740179682,13.40482359,0,5.81217481,2.264228001,7.300417372,2.914790739,10.21520811,24.2218838,36.69961383,11.33984342,72.26134105,2.478729901,60.32640779,1.858901601
66,Everett Harbor,8.2,47.9726,-122.22977,5813892.75,2.31775,0.77625,34.2575,0.65825,0.04925,3.301473655,16.78098621,20.08245986,0,0.852887404,0,10.28572548,2.886513722,13.1722392,3.161237568,1.630645605,3.358995499,8.150878672,0.781567563,15.29874746,0
63,"Fidalgo Bay Aq Reserve, Weaverling Spit",7,48.482448,-122.583879,3181280,11.87725,0.7625,37.1425,0.712,0.05525,0.429925546,11.64337409,12.07329964,0,5.668563224,0,8.786569989,1.839435431,10.62600542,14.28027157,8.216801955,3.024586721,25.52166025,0,24.96413001,0
59,Filucy Bay,13,47.19483,-122.748665,10877772,5.009,0.85625,36.8175,0.6525,0.04575,4.2924696,10.9867547,15.2792243,0,0.82242714,0,9.170008679,1.250617512,10.42062619,1.381658221,0.33148792,2.469810684,4.182956825,0,16.81732844,0
