"Group","Level","Biomarker","Analyte","Spearman_Correlation","P_Value"
"plmw","1","p450","a128",0.620879120879121,0.023538167096433
"plmw","1","p450","a129",0.681318681318681,0.0103404094514929
"plmw","1","p450","a130",0.554945054945055,0.0490044955983309
"plmw","1","p450","a37",-0.56043956043956,0.0463459058940647
"plmw","1","p450","a52",-0.659340659340659,0.0142255785114567
"plmw","1","p450","a77",0.659340659340659,0.0142255785114567
"plmw","1","p450","a78",0.653846153846154,0.0153485167321055
"plmw","1","p450","a80",0.554945054945055,0.0490044955983309
"plmw","1","p450","a81",0.582417582417582,0.0367413343586542
"plmw","1","p450","a82",0.582417582417582,0.0367413343586542
"plmw","1","p450","a84",0.648351648351648,0.0165366988042672
"plmw","1","p450","a86",0.626373626373626,0.0219886024098896
"plmw","1","p450","a88",0.675824175824176,0.0112252455776685
"plmw","1","p450","a89",0.587912087912088,0.0345860583421078
"plmw","1","p450","a90",0.582417582417582,0.0367413343586542
"plmw","1","p450","a91",0.576923076923077,0.0389926234324482
"plmw","1","p450","a92",0.582417582417582,0.0367413343586542
"plmw","1","p450","a93",0.554945054945055,0.0490044955983309
"plmw","1","p450","a94",0.747252747252747,0.00332674138342992
"plmw","1","p450","a95",0.554945054945055,0.0490044955983309
"plmw","1","p450","a96",0.582417582417582,0.0367413343586542
"plmw","1","p450","a97",0.598901098901099,0.0305541141729377
"plmw","1","p450","a98",0.582417582417582,0.0367413343586542
NA,NA,NA,NA,NA,NA
"plmw","1","sod","a131",-0.642857142857143,0.0177924506923757
"plmw","1","sod","a77",-0.631868131868132,0.0205160425728725
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"plmw","1","ci2","a11",-0.598901098901099,0.0305541141729377
"plmw","1","ci2","a112",-0.620879120879121,0.023538167096433
"plmw","1","ci2","a15",-0.626373626373626,0.0219886024098896
"plmw","1","ci2","a28",-0.664835164835165,0.0131655758455502
"plmw","1","ci2","a89",-0.774725274725275,0.00187136150287204
"plmw","1","ci2","a91",-0.604395604395604,0.0286727056714069
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"plmw","1","shell","a1",0.583219258753573,0.0364209421069772
"plmw","1","shell","a103",0.588721327232381,0.0342765954958368
"plmw","1","shell","a104",0.588721327232381,0.0342765954958368
"plmw","1","shell","a11",0.660248217456875,0.014046214320985
"plmw","1","shell","a112",0.591472361471784,0.0332396582268357
"plmw","1","shell","a15",0.687758559850912,0.00937180777076163
"plmw","1","shell","a2",0.591472361471784,0.0332396582268357
"plmw","1","shell","a28",0.649244080499261,0.0163391764740486
"plmw","1","shell","a3",0.583219258753573,0.0364209421069772
"plmw","1","shell","a33",0.569464087556555,0.042206663116747
"plmw","1","shell","a34",0.569464087556555,0.042206663116747
"plmw","1","shell","a37",-0.740028210399581,0.0038257568009028
"plmw","1","shell","a39",0.569464087556555,0.042206663116747
"plmw","1","shell","a43",0.569464087556555,0.042206663116747
"plmw","1","shell","a44",0.569464087556555,0.042206663116747
"plmw","1","shell","a46",0.569464087556555,0.042206663116747
"plmw","1","shell","a49",0.569464087556555,0.042206663116747
"plmw","1","shell","a6",0.583219258753573,0.0364209421069772
"plmw","1","shell","a60",0.569464087556555,0.042206663116747
"plmw","1","shell","a65",0.583219258753573,0.0364209421069772
"plmw","1","shell","a67",0.583219258753573,0.0364209421069772
"plmw","1","shell","a68",0.594223395711188,0.0322258160387201
"plmw","1","shell","a83",0.668501320175086,0.0124921731328189
"plmw","1","shell","a89",0.888584059327378,4.91023937376767e-05
"plmw","1","shell","a91",0.729024073441967,0.00469482846909353
"plmw","1","shell","a99",-0.651995114738664,0.0157413993395528
NA,NA,NA,NA,NA,NA
"plmw","3","p450","a105",-0.603571428571429,0.0172001380687954
"plmw","3","p450","a97",-0.632142857142857,0.0114575415400791
NA,NA,NA,NA,NA,NA
"plmw","3","sod","a104",0.657142857142857,0.00777025135866838
"plmw","3","sod","a106",0.603571428571429,0.0172001380687954
"plmw","3","sod","a119",0.567857142857143,0.0272283567088618
"plmw","3","sod","a37",-0.689285714285714,0.00447373445090626
"plmw","3","sod","a51",-0.567857142857143,0.0272283567088618
"plmw","3","sod","a61",0.514285714285714,0.0498392334714206
"plmw","3","sod","a84",0.621428571428571,0.0134020067121816
"plmw","3","sod","a86",0.575,0.0249362279425824
"plmw","3","sod","a88",0.635714285714286,0.01086074616879
NA,NA,NA,NA,NA,NA
"plmw","3","ci1","a117",-0.642519494919578,0.00979080108390651
"plmw","3","ci1","a123",-0.547870730795447,0.034491535935619
"plmw","3","ci1","a128",-0.718966573635222,0.00252338876036617
"plmw","3","ci1","a37",0.668001854491459,0.00649411449347159
"plmw","3","ci1","a50",0.677102697195703,0.00555717285500856
"plmw","3","ci1","a51",0.651620337623821,0.00849060427595494
"plmw","3","ci1","a85",-0.640699326378729,0.010068536337237
"plmw","3","ci1","a86",-0.65344050616467,0.00824763542708373
"plmw","3","ci1","a87",-0.715326236553524,0.00271693541774498
