"","correlation.site_number","correlation.p450","correlation.SOD","correlation.condition_factor","correlation.avg_thickness","p_values.site_number","p_values.p450","p_values.SOD","p_values.condition_factor","p_values.avg_thickness","region"
"site_number",1,0.0824416860043503,-0.183831849869536,-0.321050579506751,0.191113205464278,NA,0.385338428845115,0.0512863218771727,0.000526057925794038,0.042590550609775,"North"
"p450",0.0824416860043503,1,-0.262796525424682,0.076464166606826,0.366238667326094,0.385338428845115,NA,0.00492176555073416,0.420838635806584,6.6237954139799e-05,"North"
"SOD",-0.183831849869536,-0.262796525424682,1,-0.0480904416438932,-0.409400320178895,0.0512863218771727,0.00492176555073416,NA,0.612984931071035,6.71373829479015e-06,"North"
"condition_factor",-0.321050579506751,0.076464166606826,-0.0480904416438932,1,0.172808028322754,0.000526057925794038,0.420838635806584,0.612984931071035,NA,0.0671982558687137,"North"
"avg_thickness",0.191113205464278,0.366238667326094,-0.409400320178895,0.172808028322754,1,0.042590550609775,6.6237954139799e-05,6.71373829479015e-06,0.0671982558687137,NA,"North"
