sample_id,latitude,longitude,site_name,site_number,reporting_area,p450,sod,shell,ci1,ci2,ci3,weight_initial_g,weight_final_g,weight_change_g,length_mm,width_mm,height_mm,IBR,IBRv2i
29,47.58766,-122.35065,"Elliott Bay, Harbor Island, Pier 17",14,10,6895113,1.234,0.785,0.034,0.657,0.044,12.846,4.411,8.435,57.66,24.48,17.47,3.0794097763820334,-0.595377901123857
30,47.58766,-122.35065,"Elliott Bay, Harbor Island, Pier 17",14,10,12184393,6.551,0.66,0.034,0.668,0.045,12.174,4.044,8.13,56.35,23.07,18.29,4.554474931856737,-0.43742115697518846
31,47.58766,-122.35065,"Elliott Bay, Harbor Island, Pier 17",14,10,8570642,13.24,1.04,0.036,0.631,0.047,16.193,5.983,10.21,60.19,25.66,18.55,4.954441160754829,1.7110227315239128
32,47.58766,-122.35065,"Elliott Bay, Harbor Island, Pier 17",14,10,9121683,0.975,0.94,0.033,0.657,0.05,17.646,6.059,11.587,61.43,25.83,22.25,5.3918631119010225,2.278185694243966
33,48.8208,-122.7101,"Cherry Point Aquatic Reserve, Conoco Phillips",75,7,4058830,3.411,0.705,0.034,0.656,0.049,11.76,4.046,7.714,54.14,23.55,17.8,4.030903288002752,-1.5437234203136476
34,48.8208,-122.7101,"Cherry Point Aquatic Reserve, Conoco Phillips",75,7,2992400,9.761,0.86,0.035,0.667,0.045,9.375,3.12,6.255,51.73,20.59,16.93,6.667888829571163,-2.1296012205910575
35,48.8208,-122.7101,"Cherry Point Aquatic Reserve, Conoco Phillips",75,7,3977529,0.821,0.935,0.035,0.676,0.057,17.294,5.6,11.694,59.07,26.32,21.34,4.268094834264723,1.2423299145020235
36,48.8208,-122.7101,"Cherry Point Aquatic Reserve, Conoco Phillips",75,7,3836041,1.463,0.975,0.034,0.627,0.051,13.57,5.061,8.509,55.16,23.68,18.95,4.232987032020304,-0.11116912144035304
37,47.29,-122.41,Comm Bay Skookum,45,11,6405636,7.884,0.695,0.032,0.661,0.055,13.552,4.595,8.957,54.74,26.67,19.1,1.9078640288357813,-0.4189696062776311
38,47.29,-122.41,Comm Bay Skookum,45,11,6222160,4.124,0.8,0.033,0.658,0.054,12.781,4.368,8.413,53.86,24.6,19.19,2.2254091258805433,-0.5216405960282637
39,47.29,-122.41,Comm Bay Skookum,45,11,6256813,17.324,0.66,0.033,0.686,0.05,12.189,3.829,8.36,55.26,24.65,18.56,4.018623123122896,-0.8989825313173848
40,47.29,-122.41,Comm Bay Skookum,45,11,4652774,6.966,0.865,0.032,0.664,0.053,11.259,3.779,7.48,52.2,23.54,18.82,3.7125791237091406,-1.0355174587609381
41,48.21423,-122.718972,Penn Cove Reference,3,8.1,1820616,3.648,0.545,0.036,0.727,0.06,15.736,4.297,11.439,57.58,26.59,20.95,4.262730336832869,-0.6700538157692091
42,48.21423,-122.718972,Penn Cove Reference,3,8.1,3013775,9.556,0.645,0.033,0.686,0.049,15.392,4.833,10.559,59.93,26.4,20.23,2.940658178985108,-0.08209994314156592
43,48.21423,-122.718972,Penn Cove Reference,3,8.1,956165,20.28,0.6,0.032,0.71,0.059,17.856,5.177,12.679,59.76,30.94,21.59,7.815186124122723,0.6417526832767254
44,48.21423,-122.718972,Penn Cove Reference,3,8.1,3372681,16.888,0.635,0.033,0.692,0.062,15.636,4.818,10.818,55.94,26.75,21.68,3.8435921907264263,0.11040107563405333
45,47.6427936,-122.6967068,"Silverdale, Dyes Inlet",35,10,958897,11.048,0.805,0.033,0.69,0.057,17.91,5.56,12.35,59.93,28.12,21.96,4.680640021114498,1.0617188624752165
46,47.6427936,-122.6967068,"Silverdale, Dyes Inlet",35,10,1900324,11.66,0.65,0.034,0.699,0.068,16.171,4.862,11.309,54.98,28.61,21.15,4.21970582679414,-0.07663847995186701
47,47.6427936,-122.6967068,"Silverdale, Dyes Inlet",35,10,1494268,16.963,0.635,0.034,0.698,0.048,12.242,3.695,8.547,56.09,25.42,17.77,4.596587342387853,-1.5804127229475562
48,47.6427936,-122.6967068,"Silverdale, Dyes Inlet",35,10,1326495,73.345,0.66,0.037,0.705,0.062,13.212,3.9,9.312,53.13,25.75,18.58,11.324338017164829,-0.43789024601814847
