latitude,longitude,reporting_area,site_number,site_name,sample_id,at,cf,mercury,arsenic,cadmium,copper,lead,zinc,lmwPAH,PAH16,sumPCB,hmwPAH,sumPAH,PAHgroup,PAHgroup2,PAHgroup3
48.12823,-123.45715,6,1,Port Angeles Yacht Club,243,0.545,1.863,0.028128655,8.596491228,1.783625731,7.134502924,0.257309942,91.8128655,781.3402062,1081.85567,72.12371134,1202.061856,1983.402062,high,vhigh,vhigh
48.12823,-123.45715,6,1,Port Angeles Yacht Club,244,0.64,1.6048,0.028128655,8.596491228,1.783625731,7.134502924,0.257309942,91.8128655,781.3402062,1081.85567,72.12371134,1202.061856,1983.402062,high,vhigh,vhigh
48.12823,-123.45715,6,1,Port Angeles Yacht Club,245,0.89,1.5829,0.028128655,8.596491228,1.783625731,7.134502924,0.257309942,91.8128655,781.3402062,1081.85567,72.12371134,1202.061856,1983.402062,high,vhigh,vhigh
48.12823,-123.45715,6,1,Port Angeles Yacht Club,246,0.92,1.6194,0.028128655,8.596491228,1.783625731,7.134502924,0.257309942,91.8128655,781.3402062,1081.85567,72.12371134,1202.061856,1983.402062,high,vhigh,vhigh
48.12823,-123.45715,6,1,Port Angeles Yacht Club,247,0.99,1.5211,0.028128655,8.596491228,1.783625731,7.134502924,0.257309942,91.8128655,781.3402062,1081.85567,72.12371134,1202.061856,1983.402062,high,vhigh,vhigh
48.12823,-123.45715,6,1,Port Angeles Yacht Club,248,0.82,1.5334,0.028128655,8.596491228,1.783625731,7.134502924,0.257309942,91.8128655,781.3402062,1081.85567,72.12371134,1202.061856,1983.402062,high,vhigh,vhigh
