"site_number","site_name","sample_id","latitude","longitude","reporting_area","p450","sod","weight_initial_g","weight_change_g","weight_final_g","shell","length_mm","height_mm","width_mm","IBRv2i_biomarkers","IBRv2i_morphometrics","IBRv2i_overall","ci1","ci2","ci3"
"21","Des Moines Marina","1",47.40301418,-122.3305538,"11",2.51589497905812,-1.14888172601107,-1.97958837745512,-2.2287263745594,-0.43052913371263,6.06154593495361,-0.521251190432975,-2.91982336240639,-0.48977219561559,0.683506626523522,-0.35830638560407,0.162600120459726,-0.86602540378444,-1.98070760446339,-1.46493672353464
"21","Des Moines Marina","2",47.40301418,-122.3305538,"11",7.38431958276066,-1.09751332756813,-0.740049389008851,-1.28402356099275,1.01329336910605,11.9293438263242,0.0617098386658726,-2.56274942254522,-0.553854538967163,3.14340312759627,1.12338144608317,2.13339228683972,0.288675134594813,-2.14239802115428,-1.12024572976178
"21","Des Moines Marina","3",47.40301418,-122.3305538,"11",1.09902485590838,-1.00979809889533,-2.04694511853512,-2.73016997324987,0.663359289224421,7.50081711585584,0.119480751459452,-2.99421376654413,-0.393648680588232,0.0446133785065248,0.0169542310889081,0.0307838047977164,-2.59807621135332,-3.65150857693591,-2.32666420796678
"21","Des Moines Marina","4",47.40301418,-122.3305538,"11",12.9484382001036,1.21741763098325,-2.35223736057305,-2.83913345566574,-0.0144657788927449,8.94008829675806,-1.70292895211983,-4.05055750530007,-0.965812460512988,7.08292791554342,-0.426435316615193,3.32824629946412,0.288675134594813,-3.16643732686324,-0.947900232875353
"34","Suquamish Stormwater Outfall","5",47.7296079,-122.5506191,"10",2.48534295342979,-1.62031754984121,-2.83423170258708,-2.637074959147,-2.05896252906728,9.05080146451977,-1.4613414986194,-3.33640962557775,-1.82176947528042,0.432512701794289,-0.728426903679881,-0.147957100942796,1.44337567297406,-0.848874687627175,-0.947900232875353
"34","Suquamish Stormwater Outfall","6",47.7296079,-122.5506191,"10",-0.669339073546377,-0.877688771307082,0.62370592714339,-0.350957624188955,2.87868999965613,10.1579331421369,0.182503565416083,-1.17908790558321,-0.60878226183994,-0.77351392242673,1.67200069182005,0.449243384696661,0.86602540378444,-2.62746927122695,-0.430863742216069
"34","Suquamish Stormwater Outfall","7",47.7296079,-122.5506191,"10",3.00999553897869,-1.37702179324722,-0.407639497964686,-1.1041809201122,1.59192452481582,9.16151463228148,-1.23025784744509,12.4045998899686,3.58403391744867,0.816486872865733,3.42857067128465,2.12252877207519,-8.94892917243921,-2.46577885453606,0.258518245329642
"34","Suquamish Stormwater Outfall","8",47.7296079,-122.5506191,"10",-0.196985962462137,0.241015697133073,-1.25790900874081,-1.77065658925777,0.649582356945617,8.38652245794951,-3.67239188826458,5.03994988033206,1.77599637288644,0.0220148673354677,1.3072990831215,0.664656975228482,-5.48482755730145,-2.41188204897243,2.4990097048532
"50","Pennrose Point State Park","9",47.2619,-122.7376,"13",4.71107365281227,-1.35931780213895,1.8256301121294,0.707998161231223,3.90644914765492,7.72224345137925,-6.00948790582303,0.680672197860348,0.242597442688097,1.67587792533666,1.29658608673146,1.48623200603406,4.90747728811182,-2.3579852434088,10.2545570647425
"50","Pennrose Point State Park","10",47.2619,-122.7376,"13",0.45753413076882,-1.03917062959769,-4.38431151029829,-4.45771722359068,-2.19948723831108,4.51156158628967,-3.23123219056816,2.57018846295901,0.530967987770174,-0.290818249414434,-0.951432875107052,-0.621125562260743,-7.21687836487033,-3.2742309379905,-1.29259122664821
"50","Pennrose Point State Park","11",47.2619,-122.7376,"13",6.1461079458481,-0.691394501235943,-1.54570599335536,-1.46809779342343,-1.0449803133473,5.50798009614506,1.0018001468523,4.74238826378109,1.68902747833788,2.72735672230608,1.26891598357004,1.99813635293806,-6.6395280956807,-0.525493854245397,-1.98197321419392
"50","Pennrose Point State Park","12",47.2619,-122.7376,"13",7.6856889297848,-1.29319607777245,-2.22627150712473,-1.8172040963092,-2.27939344552815,4.51156158628967,0.660426571253878,5.09946220364225,2.13302657155949,3.19624642600618,0.868801126254745,2.03252377613046,-7.79422863405996,0.282958229209048,-1.98197321419392
"9","S of Skunk Island","13",48.02667,-122.75076,"9",0.57747801904982,-0.483372605713741,-4.47703637464219,-3.67381488892899,-4.53329956634051,4.62227475405138,-3.35727781848143,-3.3215315447502,-1.24045107487687,0.0470527066680394,-2.28301950199554,-1.11798339766375,-0.86602540378444,0.660235868154456,-0.258518245329641
"9","S of Skunk Island","14",48.02667,-122.75076,"9",5.20352718383642,-0.602338061115542,-1.29814810081458,-1.42578187792212,-0.375421404597415,5.50798009614506,-1.46659339978246,-1.86347962365045,-0.997853632188774,2.30059456136044,-0.274185420401534,1.01320457047945,1.44337567297406,-1.11835871544532,0.258518245329642
