DO NOT SORT,a79 removed (lipids),
og column name,column identifier,class
alpha_chlordane,a1,chlordane
alpha_hexachlorocyclohexane,a2,HCH
aldrin,a3,pesticide
beta_chlordane,a4,chlordane
BDE100,a5,PBDE
BDE153,a6,PBDE
BDE154,a7,PBDE
BDE155,a8,PBDE
BDE183,a9,PBDE
BDE028,a10,PBDE
BDE047,a11,PBDE
BDE049,a12,PBDE
BDE066,a13,PBDE
BDE085,a14,PBDE
BDE099,a15,PBDE
beta_hexachlorocyclohexane,a16,HCH
Br5DE04,a17,PBDE Congener
Br5DE05,a18,PBDE Congener
Br6DE01,a19,PBDE Congener
Br7DE01,a20,PBDE Congener
PCB101,a21,PCB
PCB105,a22,PCB
PCB011,a23,PCB
PCB110,a24,PCB
PCB118,a25,PCB
PCB128,a26,PCB
PCB138,a27,PCB
PCB149,a28,PCB
PCB151,a29,PCB
PCB153,a30,PCB
PCB156,a31,PCB
PCB158,a32,PCB
PCB017,a33,PCB
PCB170,a34,PCB
PCB171,a35,PCB
PCB177,a36,PCB
PCB018,a37,PCB
PCB180,a38,PCB
PCB183,a39,PCB
PCB187,a40,PCB
PCB191,a41,PCB
PCB194,a42,PCB
PCB195,a43,PCB
PCB198,a44,PCB
PCB199,a45,PCB
PCB205,a46,PCB
PCB206,a47,PCB
PCB208,a48,PCB
PCB209,a49,PCB
PCB028,a50,PCB
PCB031,a51,PCB
PCB033,a52,PCB
PCB044,a53,PCB
PCB049,a54,PCB
PCB052,a55,PCB
PCB066,a56,PCB
PCB070,a57,PCB
PCB074,a58,PCB
PCB082,a59,PCB
PCB087,a60,PCB
PCB095,a61,PCB
PCB099,a62,PCB
cis_nonachlor,a63,chlordane
dieldrin,a64,pesticide
Endosulfan_1,a65,pesticide
hexachlorobenzene,a66,pesticide
heptachlor,a67,chlordane
heptachlor_epoxide,a68,chlordane
gamma_hexachlorocyclohexane,a69,HCH
mirex,a70,pesticide
nonachlor3,a71,chlordane
opDDD,a72,DDT
opDDE,a73,DDT
opDDT,a74,DDT
Oxychlordane,a75,chlordane
ppDDD,a76,DDT
ppDDE,a77,DDT
ppDDT,a78,DDT
lipids,a79,EXCLUDE
benz[a]anthracene,a83,hmw16
benzo[a]pyrene,a84,hmw16
benzo[b]fluoranthene,a85,hmw16
benzo[e]pyrene,a86,hmw16
benzo[k]fluoranthene,a87,hmw16
benzo[ghi]perylene,a88,hmw16
"dibenz[a,h]anthracene",a113,hmw16
"indeno[1,2,3-cd]pyrene",a119,hmw16
pyrene,a128,hmw16
C1-fluoranthenes/pyrenes,a91,hmw20
C2-benzanthracenes/chrysenes,a95,hmw20
C2-fluoranthenes/pyrenes,a97,hmw20
C3-benzanthracenes/chrysenes,a101,hmw20
C3-fluoranthenes/pyrenes,a103,hmw20
C4-benzanthracenes/chrysenes,a107,hmw20
C4-fluoranthenes/pyrenes,a109,hmw20
chrysene,a112,hmw20
dibenzothiophene,a114,hmw20
fluoranthene,a117,hmw20
perylene,a126,hmw20
acenaphthene,a80,lmw16
acenaphthylene,a81,lmw22
anthracene,a82,lmw22
C1-benzanthracenes/chrysenes,a89,lmw22
C1-dibenzothiophenes,a90,lmw22
C1-fluorenes,a92,lmw22
C1-naphthalenes,a93,lmw22
C1-phenanthrenes/anthracenes,a94,lmw22
C2-dibenzothiophenes,a96,lmw22
C2-fluorenes,a98,lmw22
C2-naphthalenes,a99,lmw22
C2-phenanthrenes/anthracenes,a100,lmw22
C3-dibenzothiophenes,a102,lmw22
C3-fluorenes,a104,lmw22
C3-naphthalenes,a105,lmw22
C3-phenanthrenes/anthracenes,a106,lmw22
C4-dibenzothiophenes,a108,lmw22
C4-naphthalenes,a110,lmw22
C4-phenanthrenes/anthracenes,a111,lmw22
"2,6-dimethylnaphthalene",a115,lmw22
"1,7-dimethylphenanthrene",a116,lmw22
fluorene,a118,lmw22
1-methylnaphthalene,a120,lmw22
2-methylnaphthalene,a121,lmw22
1-methylphenanthrene,a122,lmw22
3-methylphenanthrene,a123,lmw22
9-methylphenanthrene,a124,lmw22
naphthalene,a125,lmw22
phenanthrene,a127,lmw22
Retene,a129,lmw22
"2,3,5-trimethylnaphthalene",a130,lmw22
