site_name,latitude,longitude,reporting_area,site_number,sample_id,at,cf,PAHgroup3,PAHgroup4,PAHgroup5,PAHgroup6,Sum40CBs,SumBDEs,SumCHLDs,SumDDTs,SumHCHs
"Manchester, Stormwater Outfall",47.55622,-122.54281,10,33,264,0.645,0.1894,2,3,2,3,41.04681746,1.983929511,-1.368227249,2.394397685,-1.162993161
Maple Hollow Park,47.30008,-122.74566,13,51,202,0.8,0.1974,1,1,1,1,35.98765432,1.57037037,-1.177777778,1.504938272,-0.981481481
Maple Hollow Park,47.30008,-122.74566,13,51,203,0.665,0.1456,1,1,1,1,35.98765432,1.57037037,-1.177777778,1.504938272,-0.981481481
Maple Hollow Park,47.30008,-122.74566,13,51,204,0.735,0.1939,1,1,1,1,35.98765432,1.57037037,-1.177777778,1.504938272,-0.981481481
Maple Hollow Park,47.30008,-122.74566,13,51,205,0.9,0.1996,1,1,1,1,35.98765432,1.57037037,-1.177777778,1.504938272,-0.981481481
Maristone Island,48.018127,-122.699524,9,11,307,0.61,0.1875,1,1,0,0,31.04430735,-1.411104879,-1.411104879,1.340549635,-1.199439148
Maristone Island,48.018127,-122.699524,9,11,308,0.705,0.1744,1,1,0,0,31.04430735,-1.411104879,-1.411104879,1.340549635,-1.199439148
Maristone Island,48.018127,-122.699524,9,11,309,0.9,0.1787,1,1,0,0,31.04430735,-1.411104879,-1.411104879,1.340549635,-1.199439148
Maristone Island,48.018127,-122.699524,9,11,310,0.695,0.1358,1,1,0,0,31.04430735,-1.411104879,-1.411104879,1.340549635,-1.199439148
Maristone Island,48.018127,-122.699524,9,11,311,0.61,0.2117,1,1,0,0,31.04430735,-1.411104879,-1.411104879,1.340549635,-1.199439148
Maristone Island,48.018127,-122.699524,9,11,312,0.675,0.2405,1,1,0,0,31.04430735,-1.411104879,-1.411104879,1.340549635,-1.199439148
Meyer's Point - Henderson Inlet,47.11795,-122.83359,13,71,67,0.535,0.1925,1,2,1,1,49.06902985,-1.338246269,-1.338246269,1.412593284,-1.115205224
Meyer's Point - Henderson Inlet,47.11795,-122.83359,13,71,68,0.855,0.184,1,2,1,1,49.06902985,-1.338246269,-1.338246269,1.412593284,-1.115205224
Meyer's Point - Henderson Inlet,47.11795,-122.83359,13,71,65,0.8,0.1711,1,2,1,1,49.06902985,-1.338246269,-1.338246269,1.412593284,-1.115205224
Meyer's Point - Henderson Inlet,47.11795,-122.83359,13,71,66,0.965,0.1665,1,2,1,1,49.06902985,-1.338246269,-1.338246269,1.412593284,-1.115205224
Miller Creek,47.4436,-122.360316,11,20,231,0.96,0.1936,2,2,2,2,43.84752475,4.384752475,1.270942746,3.685733965,-1.016754197
Miller Creek,47.4436,-122.360316,11,20,232,0.745,0.1985,2,2,2,2,43.84752475,4.384752475,1.270942746,3.685733965,-1.016754197
Miller Creek,47.4436,-122.360316,11,20,233,0.895,0.1914,2,2,2,2,43.84752475,4.384752475,1.270942746,3.685733965,-1.016754197
Miller Creek,47.4436,-122.360316,11,20,234,0.685,0.1737,2,2,2,2,43.84752475,4.384752475,1.270942746,3.685733965,-1.016754197
Minter Bay,47.3539722,-122.69175,13,55,178,0.95,0.175,1,1,0,1,31.57959184,2.894795918,-1.25002551,1.710561224,-1.052653061
Minter Bay,47.3539722,-122.69175,13,55,179,1.095,0.1595,1,1,0,1,31.57959184,2.894795918,-1.25002551,1.710561224,-1.052653061
Minter Bay,47.3539722,-122.69175,13,55,180,0.825,0.1956,1,1,0,1,31.57959184,2.894795918,-1.25002551,1.710561224,-1.052653061
Minter Bay,47.3539722,-122.69175,13,55,181,0.8,0.1665,1,1,0,1,31.57959184,2.894795918,-1.25002551,1.710561224,-1.052653061
Mukilteo,47.94968,-122.30158,8.2,65,17,0.805,0.1349,2,3,3,3,31.07277406,2.977807514,-1.229963973,1.942048379,-1.035759135
Mukilteo,47.94968,-122.30158,8.2,65,18,0.83,0.159,2,3,3,3,31.07277406,2.977807514,-1.229963973,1.942048379,-1.035759135
Mukilteo,47.94968,-122.30158,8.2,65,19,0.855,0.1615,2,3,3,3,31.07277406,2.977807514,-1.229963973,1.942048379,-1.035759135
Mukilteo,47.94968,-122.30158,8.2,65,20,0.675,0.1574,2,3,3,3,31.07277406,2.977807514,-1.229963973,1.942048379,-1.035759135
N Avenue Park,48.52108,-122.61531,7,62,213,0.71,0.1962,3,4,4,5,26.59131514,3.364615385,-1.248163772,10.31091811,1.031091811
N Avenue Park,48.52108,-122.61531,7,62,210,0.9,0.2009,3,4,4,5,26.59131514,3.364615385,-1.248163772,10.31091811,1.031091811
N Avenue Park,48.52108,-122.61531,7,62,211,0.79,0.1556,3,4,4,5,26.59131514,3.364615385,-1.248163772,10.31091811,1.031091811
N Avenue Park,48.52108,-122.61531,7,62,212,0.89,0.1759,3,4,4,5,26.59131514,3.364615385,-1.248163772,10.31091811,1.031091811
North Camano,48.255358,-122.507014,8.1,7,303,0.745,0.187,1,1,0,1,19.04379562,-1.52350365,-1.52350365,4.316593674,-1.269586375
North Camano,48.255358,-122.507014,8.1,7,304,0.725,0.1916,1,1,0,1,19.04379562,-1.52350365,-1.52350365,4.316593674,-1.269586375
North Camano,48.255358,-122.507014,8.1,7,305,0.855,0.1913,1,1,0,1,19.04379562,-1.52350365,-1.52350365,4.316593674,-1.269586375
North Camano,48.255358,-122.507014,8.1,7,306,0.745,0.1484,1,1,0,1,19.04379562,-1.52350365,-1.52350365,4.316593674,-1.269586375
Oak Bay County Park,48.02218,-122.728709,9,10,88,0.81,0.1868,1,1,0,0,30.13767748,-1.346577079,-1.346577079,-1.346577079,-1.090086207
Oak Bay County Park,48.02218,-122.728709,9,10,89,0.8,0.2043,1,1,0,0,30.13767748,-1.346577079,-1.346577079,-1.346577079,-1.090086207
Oak Bay County Park,48.02218,-122.728709,9,10,90,0.75,0.1747,1,1,0,0,30.13767748,-1.346577079,-1.346577079,-1.346577079,-1.090086207
Oak Bay County Park,48.02218,-122.728709,9,10,91,0.735,0.132,1,1,0,0,30.13767748,-1.346577079,-1.346577079,-1.346577079,-1.090086207
Penn Cove Reference,48.21423,-122.718972,8.1,3,41,0.545,0.1987,1,1,0,1,24.87114267,-1.389857973,-1.389857973,4.315874758,-1.097256294
Penn Cove Reference,48.21423,-122.718972,8.1,3,42,0.645,0.1762,1,1,0,1,24.87114267,-1.389857973,-1.389857973,4.315874758,-1.097256294
Penn Cove Reference,48.21423,-122.718972,8.1,3,43,0.6,0.2122,1,1,0,1,24.87114267,-1.389857973,-1.389857973,4.315874758,-1.097256294
Penn Cove Reference,48.21423,-122.718972,8.1,3,44,0.635,0.1934,1,1,0,1,24.87114267,-1.389857973,-1.389857973,4.315874758,-1.097256294
Penrose Point State Park,47.2619,-122.7376,13,50,9,0.955,0.2569,1,2,1,1,42.2481409,1.452279843,-1.122216243,1.386267123,-0.924178082
Penrose Point State Park,47.2619,-122.7376,13,50,10,0.81,0.1373,1,2,1,1,42.2481409,1.452279843,-1.122216243,1.386267123,-0.924178082
Penrose Point State Park,47.2619,-122.7376,13,50,11,0.855,0.1659,1,2,1,1,42.2481409,1.452279843,-1.122216243,1.386267123,-0.924178082
Penrose Point State Park,47.2619,-122.7376,13,50,12,0.81,0.1622,1,2,1,1,42.2481409,1.452279843,-1.122216243,1.386267123,-0.924178082
Point Defiance Ferry,47.3062,-122.5145,11,43,110,0.79,0.1763,3,3,3,4,48.05865842,2.200275928,-1.158039962,3.416217888,-0.984333968
Point Defiance Ferry,47.3062,-122.5145,11,43,111,0.79,0.181,3,3,3,4,48.05865842,2.200275928,-1.158039962,3.416217888,-0.984333968
Point Defiance Ferry,47.3062,-122.5145,11,43,112,0.87,0.1607,3,3,3,4,48.05865842,2.200275928,-1.158039962,3.416217888,-0.984333968
Point Defiance Ferry,47.3062,-122.5145,11,43,113,0.905,0.1864,3,3,3,4,48.05865842,2.200275928,-1.158039962,3.416217888,-0.984333968
Purdy - Dexters,47.38566,-122.627255,13,57,147,0.96,0.1678,1,1,0,0,32.6997544,1.434199754,-1.089991813,1.663671715,-0.917887843
Purdy - Dexters,47.38566,-122.627255,13,57,148,0.73,0.1986,1,1,0,0,32.6997544,1.434199754,-1.089991813,1.663671715,-0.917887843
Purdy - Dexters,47.38566,-122.627255,13,57,145,0.805,0.1627,1,1,0,0,32.6997544,1.434199754,-1.089991813,1.663671715,-0.917887843
Purdy - Dexters,47.38566,-122.627255,13,57,146,0.88,0.143,1,1,0,0,32.6997544,1.434199754,-1.089991813,1.663671715,-0.917887843
"Purdy, Burley Lagoon",47.386977,-122.6367089,13,47,74,1.195,0.2331,1,2,1,1,44.93073551,2.708153921,-1.046332197,2.031115441,-0.861685339
"Purdy, Burley Lagoon",47.386977,-122.6367089,13,47,75,0.705,0.126,1,2,1,1,44.93073551,2.708153921,-1.046332197,2.031115441,-0.861685339
"Purdy, Burley Lagoon",47.386977,-122.6367089,13,47,76,0.83,0.1856,1,2,1,1,44.93073551,2.708153921,-1.046332197,2.031115441,-0.861685339
"Purdy, Burley Lagoon",47.386977,-122.6367089,13,47,77,0.93,0.214,1,2,1,1,44.93073551,2.708153921,-1.046332197,2.031115441,-0.861685339
Raft Island Park,47.32598,-122.66724,13,53,218,0.58,0.1806,1,1,0,0,33.06755793,-1.336773619,-1.336773619,1.407130125,-1.1257041
Raft Island Park,47.32598,-122.66724,13,53,219,0.595,0.1358,1,1,0,0,33.06755793,-1.336773619,-1.336773619,1.407130125,-1.1257041
Raft Island Park,47.32598,-122.66724,13,53,220,0.805,0.1783,1,1,0,0,33.06755793,-1.336773619,-1.336773619,1.407130125,-1.1257041
Raft Island Park,47.32598,-122.66724,13,53,221,0.635,0.1892,1,1,0,0,33.06755793,-1.336773619,-1.336773619,1.407130125,-1.1257041
Reach Island,47.346537,-122.82236,13,39,273,0.655,0.1414,1,2,1,1,21.01721311,-1.459528689,-1.459528689,1.459528689,-1.226004098
Reach Island,47.346537,-122.82236,13,39,274,0.85,0.2169,1,2,1,1,21.01721311,-1.459528689,-1.459528689,1.459528689,-1.226004098
Reach Island,47.346537,-122.82236,13,39,275,0.765,0.1631,1,2,1,1,21.01721311,-1.459528689,-1.459528689,1.459528689,-1.226004098
Reach Island,47.346537,-122.82236,13,39,276,0.81,0.1532,1,2,1,1,21.01721311,-1.459528689,-1.459528689,1.459528689,-1.226004098
Rich Passage,47.578117,-122.524833,10,32,173,0.765,0.1494,2,2,2,2,55.89845985,3.270654565,-0.8919967,3.092255226,-0.773063806
Rich Passage,47.578117,-122.524833,10,32,170,0.9,0.1901,2,2,2,2,55.89845985,3.270654565,-0.8919967,3.092255226,-0.773063806
Rich Passage,47.578117,-122.524833,10,32,171,0.83,0.1489,2,2,2,2,55.89845985,3.270654565,-0.8919967,3.092255226,-0.773063806
Rich Passage,47.578117,-122.524833,10,32,172,0.745,0.1754,2,2,2,2,55.89845985,3.270654565,-0.8919967,3.092255226,-0.773063806
Rocky Point,47.60255,-122.66992,10,27,295,0.695,0.1736,2,2,2,2,60.88630807,1.88747555,-1.217726161,2.496338631,0.730635697
Rocky Point,47.60255,-122.66992,10,27,296,0.595,0.1679,2,2,2,2,60.88630807,1.88747555,-1.217726161,2.496338631,0.730635697
Rocky Point,47.60255,-122.66992,10,27,297,0.745,0.1909,2,2,2,2,60.88630807,1.88747555,-1.217726161,2.496338631,0.730635697
Rocky Point,47.60255,-122.66992,10,27,298,0.72,0.1803,2,2,2,2,60.88630807,1.88747555,-1.217726161,2.496338631,0.730635697
S of Skunk Island,48.02667,-122.75076,9,9,14,0.855,0.1807,2,2,2,2,18.01739589,-1.561507644,-1.561507644,-1.561507644,-1.321275698
S of Skunk Island,48.02667,-122.75076,9,9,13,0.815,0.1522,2,2,2,2,18.01739589,-1.561507644,-1.561507644,-1.561507644,-1.321275698
S of Skunk Island,48.02667,-122.75076,9,9,15,0.78,0.1925,2,2,2,2,18.01739589,-1.561507644,-1.561507644,-1.561507644,-1.321275698
S of Skunk Island,48.02667,-122.75076,9,9,16,0.695,0.1627,2,2,2,2,18.01739589,-1.561507644,-1.561507644,-1.561507644,-1.321275698
"Salmon Bay, Commodore Park",47.6663,-122.4018,10,16,287,0.67,0.2051,3,4,4,5,96.73529412,7.441176471,6.845882353,23.06764706,4.167058824
"Salmon Bay, Commodore Park",47.6663,-122.4018,10,16,288,0.795,0.1903,3,4,4,5,96.73529412,7.441176471,6.845882353,23.06764706,4.167058824
"Salmon Bay, Commodore Park",47.6663,-122.4018,10,16,289,0.725,0.1859,3,4,4,5,96.73529412,7.441176471,6.845882353,23.06764706,4.167058824
"Salmon Bay, Commodore Park",47.6663,-122.4018,10,16,290,0.64,0.1873,3,4,4,5,96.73529412,7.441176471,6.845882353,23.06764706,4.167058824
Salmon Beach,47.29464,-122.53053,11,40,123,0.935,0.2061,2,3,3,3,34.53075435,1.786073501,-1.547930368,1.547930368,-1.309787234
Salmon Beach,47.29464,-122.53053,11,40,124,0.685,0.1415,2,3,3,3,34.53075435,1.786073501,-1.547930368,1.547930368,-1.309787234
Salmon Beach,47.29464,-122.53053,11,40,125,0.8,0.1457,2,3,3,3,34.53075435,1.786073501,-1.547930368,1.547930368,-1.309787234
Salmon Beach,47.29464,-122.53053,11,40,126,1.035,0.1489,2,3,3,3,34.53075435,1.786073501,-1.547930368,1.547930368,-1.309787234
"Seattle Aquarium, Pier 59",47.607,-122.342,10,17,81,0.805,0.1944,3,4,4,5,110.1653543,5.313858268,-1.166456693,10.36850394,2.527322835
"Seattle Aquarium, Pier 59",47.607,-122.342,10,17,78,0.755,0.1453,3,4,4,5,110.1653543,5.313858268,-1.166456693,10.36850394,2.527322835
"Seattle Aquarium, Pier 59",47.607,-122.342,10,17,79,0.905,0.182,3,4,4,5,110.1653543,5.313858268,-1.166456693,10.36850394,2.527322835
"Seattle Aquarium, Pier 59",47.607,-122.342,10,17,80,0.905,0.1834,3,4,4,5,110.1653543,5.313858268,-1.166456693,10.36850394,2.527322835
Shilshole Bay,47.671678,-122.406663,10,18,291,0.56,0.1508,3,4,4,5,90.20566319,7.517138599,4.13442623,27.06169896,-1.353084948
Shilshole Bay,47.671678,-122.406663,10,18,292,0.575,0.128,3,4,4,5,90.20566319,7.517138599,4.13442623,27.06169896,-1.353084948
Shilshole Bay,47.671678,-122.406663,10,18,293,0.515,0.1539,3,4,4,5,90.20566319,7.517138599,4.13442623,27.06169896,-1.353084948
Shilshole Bay,47.671678,-122.406663,10,18,294,0.575,0.1727,3,4,4,5,90.20566319,7.517138599,4.13442623,27.06169896,-1.353084948
"Silverdale, Dyes Inlet",47.6427936,-122.6967068,10,35,45,0.805,0.2061,2,3,2,3,68.54072398,4.112443439,-1.233733032,5.072013575,0.822488688
"Silverdale, Dyes Inlet",47.6427936,-122.6967068,10,35,46,0.65,0.2057,2,3,2,3,68.54072398,4.112443439,-1.233733032,5.072013575,0.822488688
"Silverdale, Dyes Inlet",47.6427936,-122.6967068,10,35,47,0.635,0.1524,2,3,2,3,68.54072398,4.112443439,-1.233733032,5.072013575,0.822488688
"Silverdale, Dyes Inlet",47.6427936,-122.6967068,10,35,48,0.66,0.1752,2,3,2,3,68.54072398,4.112443439,-1.233733032,5.072013575,0.822488688
Skiff Point,47.66142,-122.49884,10,24,260,0.535,0.1482,2,3,3,4,21.31009901,-2.19020462,-2.19020462,2.071815182,-1.835036304
Skiff Point,47.66142,-122.49884,10,24,257,0.49,0.1941,2,3,3,4,21.31009901,-2.19020462,-2.19020462,2.071815182,-1.835036304
Skiff Point,47.66142,-122.49884,10,24,258,0.62,0.1876,2,3,3,4,21.31009901,-2.19020462,-2.19020462,2.071815182,-1.835036304
Skiff Point,47.66142,-122.49884,10,24,259,0.59,0.1732,2,3,3,4,21.31009901,-2.19020462,-2.19020462,2.071815182,-1.835036304
"Smith Cove, Terminal 91",47.63237,-122.37869,10,15,94,0.605,0.1494,3,4,4,5,143.0655412,19.50893744,5.3324429,33.16519364,4.682144985
"Smith Cove, Terminal 91",47.63237,-122.37869,10,15,92,0.81,0.2297,3,4,4,5,143.0655412,19.50893744,5.3324429,33.16519364,4.682144985
"Smith Cove, Terminal 91",47.63237,-122.37869,10,15,93,0.845,0.177,3,4,4,5,143.0655412,19.50893744,5.3324429,33.16519364,4.682144985
"Smith Cove, Terminal 91",47.63237,-122.37869,10,15,95,0.7,0.1727,3,4,4,5,143.0655412,19.50893744,5.3324429,33.16519364,4.682144985
Squaxin Island,47.17650485,-122.9046464,13,38,201,0.695,0.1595,1,1,1,1,25.24702247,-1.359455056,-1.359455056,1.294719101,-1.100511236
Squaxin Island,47.17650485,-122.9046464,13,38,198,0.85,0.1824,1,1,1,1,25.24702247,-1.359455056,-1.359455056,1.294719101,-1.100511236
Squaxin Island,47.17650485,-122.9046464,13,38,199,0.955,0.1731,1,1,1,1,25.24702247,-1.359455056,-1.359455056,1.294719101,-1.100511236
Squaxin Island,47.17650485,-122.9046464,13,38,200,0.925,0.182,1,1,1,1,25.24702247,-1.359455056,-1.359455056,1.294719101,-1.100511236
Suquamish Stormwater Outfall,47.7296079,-122.5506191,10,34,5,1.015,0.1599,2,3,3,3,48.33093318,3.222062212,-0.902177419,3.222062212,-0.708853687
Suquamish Stormwater Outfall,47.7296079,-122.5506191,10,34,6,1.065,0.1882,2,3,3,3,48.33093318,3.222062212,-0.902177419,3.222062212,-0.708853687
Suquamish Stormwater Outfall,47.7296079,-122.5506191,10,34,7,1.02,0.1846,2,3,3,3,48.33093318,3.222062212,-0.902177419,3.222062212,-0.708853687
Suquamish Stormwater Outfall,47.7296079,-122.5506191,10,34,8,0.985,0.189,2,3,3,3,48.33093318,3.222062212,-0.902177419,3.222062212,-0.708853687
Thea Foss Waterway,47.259189,-122.434689,11,46,121,0.95,0.1982,3,4,4,5,61.66028827,6.49055666,4.478484095,9.086779324,1.233205765
Thea Foss Waterway,47.259189,-122.434689,11,46,118,0.87,0.1605,3,4,4,5,61.66028827,6.49055666,4.478484095,9.086779324,1.233205765
Thea Foss Waterway,47.259189,-122.434689,11,46,119,0.89,0.1773,3,4,4,5,61.66028827,6.49055666,4.478484095,9.086779324,1.233205765
Thea Foss Waterway,47.259189,-122.434689,11,46,120,0.925,0.1598,3,4,4,5,61.66028827,6.49055666,4.478484095,9.086779324,1.233205765
Thea Foss Waterway,47.259189,-122.434689,11,46,122,0.85,0.043,3,4,4,5,61.66028827,6.49055666,4.478484095,9.086779324,1.233205765
Three Tree Point,47.44896,-122.372267,11,22,277,0.73,0.188,2,2,2,2,37.11426441,4.35945328,1.354965209,2.827753479,-1.119319085
Three Tree Point,47.44896,-122.372267,11,22,278,0.765,0.2196,2,2,2,2,37.11426441,4.35945328,1.354965209,2.827753479,-1.119319085
Three Tree Point,47.44896,-122.372267,11,22,279,0.955,0.2095,2,2,2,2,37.11426441,4.35945328,1.354965209,2.827753479,-1.119319085
Three Tree Point,47.44896,-122.372267,11,22,280,0.8,0.2166,2,2,2,2,37.11426441,4.35945328,1.354965209,2.827753479,-1.119319085
Tulalip Bay,48.0617,-122.2939,8.2,67,135,0.875,0.1732,2,2,2,3,33.74249412,1.752014118,-1.297788235,2.141350588,-1.10312
Tulalip Bay,48.0617,-122.2939,8.2,67,136,0.945,0.1597,2,2,2,3,33.74249412,1.752014118,-1.297788235,2.141350588,-1.10312
Tulalip Bay,48.0617,-122.2939,8.2,67,137,0.855,0.1946,2,2,2,3,33.74249412,1.752014118,-1.297788235,2.141350588,-1.10312
Tulalip Bay,48.0617,-122.2939,8.2,67,138,0.835,0.2037,2,2,2,3,33.74249412,1.752014118,-1.297788235,2.141350588,-1.10312
Tulalip Bay,48.0617,-122.2939,8.2,67,139,0.735,0.1114,2,2,2,3,33.74249412,1.752014118,-1.297788235,2.141350588,-1.10312
Tulalip Bay,48.0617,-122.2939,8.2,67,140,1,0.2144,2,2,2,3,33.74249412,1.752014118,-1.297788235,2.141350588,-1.10312
Tulalip Reservation,48.0697859,-122.2997764,8.2,70,190,0.845,0.1737,2,2,1,2,22.99099576,1.061122881,-1.00217161,1.296927966,-0.884269068
Tulalip Reservation,48.0697859,-122.2997764,8.2,70,191,0.82,0.1871,2,2,1,2,22.99099576,1.061122881,-1.00217161,1.296927966,-0.884269068
Tulalip Reservation,48.0697859,-122.2997764,8.2,70,192,0.83,0.151,2,2,1,2,22.99099576,1.061122881,-1.00217161,1.296927966,-0.884269068
Tulalip Reservation,48.0697859,-122.2997764,8.2,70,193,0.64,0.1604,2,2,1,2,22.99099576,1.061122881,-1.00217161,1.296927966,-0.884269068
West Bay Park,47.052362,-122.910912,13,73,182,0.78,0.1708,2,3,2,3,46.56538267,8.09832742,-1.619665484,2.969386721,-1.349721237
West Bay Park,47.052362,-122.910912,13,73,185,0.805,0.1386,2,3,2,3,46.56538267,8.09832742,-1.619665484,2.969386721,-1.349721237
West Bay Park,47.052362,-122.910912,13,73,183,0.66,0.2197,2,3,2,3,46.56538267,8.09832742,-1.619665484,2.969386721,-1.349721237
West Bay Park,47.052362,-122.910912,13,73,184,0.845,0.201,2,3,2,3,46.56538267,8.09832742,-1.619665484,2.969386721,-1.349721237
Williams Olson Park,47.66586,-122.56698,10,26,252,0.575,0.1876,2,2,2,2,40.36790954,1.44601467,-1.385764059,2.169022005,-1.144761614
Williams Olson Park,47.66586,-122.56698,10,26,254,0.615,0.1901,2,2,2,2,40.36790954,1.44601467,-1.385764059,2.169022005,-1.144761614
Williams Olson Park,47.66586,-122.56698,10,26,255,0.785,0.1388,2,2,2,2,40.36790954,1.44601467,-1.385764059,2.169022005,-1.144761614
Williams Olson Park,47.66586,-122.56698,10,26,256,0.71,0.1314,2,2,2,2,40.36790954,1.44601467,-1.385764059,2.169022005,-1.144761614
