site_name,analyte,dryvalue
Brackenwood Ln,heptachlor,-1.356885144
Brackenwood Ln,heptachlor_epoxide,-1.41588015
Brackenwood Ln,gamma_hexachlorocyclohexane,-1.297890137
Brackenwood Ln,mirex,-1.592865169
Brackenwood Ln,nonachlor3,-1.592865169
Brackenwood Ln,opDDD,-1.592865169
Brackenwood Ln,opDDE,-1.592865169
Brackenwood Ln,opDDT,-1.592865169
Brackenwood Ln,Oxychlordane,-1.592865169
Brackenwood Ln,ppDDD,-1.533870162
Brackenwood Ln,ppDDE,2.182815231
Brackenwood Ln,ppDDT,-1.41588015
Salmon Beach,alpha_chlordane,-1.309787234
Salmon Beach,alpha_hexachlorocyclohexane,-1.309787234
Salmon Beach,aldrin,-1.309787234
Salmon Beach,beta_chlordane,-1.547930368
Salmon Beach,BDE100,-1.547930368
Salmon Beach,BDE153,-1.369323017
Salmon Beach,BDE154,-1.547930368
Salmon Beach,BDE155,-1.547930368
Salmon Beach,BDE183,-1.250251451
Salmon Beach,BDE028,-1.547930368
Salmon Beach,BDE047,1.786073501
Salmon Beach,BDE049,-1.547930368
Salmon Beach,BDE066,-1.547930368
Salmon Beach,BDE085,-1.547930368
Salmon Beach,BDE099,-1.488394584
Salmon Beach,beta_hexachlorocyclohexane,-0.833500967
Salmon Beach,Br5DE04,-1.547930368
Salmon Beach,Br5DE05,-1.547930368
Salmon Beach,Br6DE01,-1.547930368
Salmon Beach,Br7DE01,-1.250251451
Salmon Beach,PCB101,2.679110251
Salmon Beach,PCB105,1.667001934
Salmon Beach,PCB011,-1.488394584
Salmon Beach,PCB110,2.857717602
Salmon Beach,PCB118,3.095860735
Salmon Beach,PCB128,-1.547930368
Salmon Beach,PCB138,4.762862669
Salmon Beach,PCB149,2.440967118
Salmon Beach,PCB151,-1.547930368
Salmon Beach,PCB153,4.524719536
Salmon Beach,PCB156,-1.547930368
Salmon Beach,PCB158,-1.547930368
Salmon Beach,PCB017,-1.488394584
Salmon Beach,PCB170,-1.488394584
Salmon Beach,PCB171,-1.547930368
Salmon Beach,PCB177,-1.488394584
Salmon Beach,PCB018,1.845609284
Salmon Beach,PCB180,-1.488394584
Salmon Beach,PCB183,-1.488394584
Salmon Beach,PCB187,-1.488394584
Salmon Beach,PCB191,-1.488394584
Salmon Beach,PCB194,-1.488394584
Salmon Beach,PCB195,-1.488394584
Salmon Beach,PCB198,-1.488394584
Salmon Beach,PCB199,-1.488394584
Salmon Beach,PCB205,-1.488394584
Salmon Beach,PCB206,-1.488394584
Salmon Beach,PCB208,-1.488394584
Salmon Beach,PCB209,-1.488394584
Salmon Beach,PCB028,2.024216634
Salmon Beach,PCB031,2.143288201
Salmon Beach,PCB033,1.607466151
Salmon Beach,PCB044,-1.547930368
Salmon Beach,PCB049,-1.547930368
Salmon Beach,PCB052,1.607466151
Salmon Beach,PCB066,-1.547930368
Salmon Beach,PCB070,1.667001934
Salmon Beach,PCB074,-1.547930368
Salmon Beach,PCB082,-1.488394584
Salmon Beach,PCB087,-1.488394584
Salmon Beach,PCB095,1.607466151
Salmon Beach,PCB099,-1.488394584
Salmon Beach,cis_nonachlor,-1.547930368
Salmon Beach,dieldrin,-1.190715667
Salmon Beach,Endosulfan_1,-1.309787234
Salmon Beach,hexachlorobenzene,-1.488394584
Salmon Beach,heptachlor,-1.309787234
Salmon Beach,heptachlor_epoxide,-1.428858801
Salmon Beach,gamma_hexachlorocyclohexane,-1.250251451
Salmon Beach,mirex,-1.547930368
Salmon Beach,nonachlor3,-1.547930368
Salmon Beach,opDDD,-1.547930368
Salmon Beach,opDDE,-1.547930368
