site_number,Individual,weight,length,width,height,weight_final,weight_change,condition_factor,avg_thickness,economic_index
19,72,17.1373,60.09,25.49,20.96,5.1041,12.03,0.2852,0.935,0.0022
19,73,20.2139,59.96,27.64,23.97,5.9438,14.27,0.3371,0.94,0.0021
47,74,22.6094,64.64,29.68,24.32,7.5348,15.07,0.3498,1.195,0.0025
47,75,9.7035,53.9,21.64,18.69,2.9102,6.79,0.18,0.705,0.0019
47,76,15.6093,59.82,30.47,19.15,4.5137,11.1,0.2609,0.83,0.0018
47,77,18.2985,59.38,27.08,21.75,5.5873,12.71,0.3082,0.93,0.0022
17,78,11.1504,53.87,23.98,17.44,3.3161,7.83,0.207,0.755,0.0019
17,79,15.6407,59.95,26.9,18.86,4.7261,10.91,0.2609,0.905,0.0021
17,80,16.2311,61.17,26.63,18.82,5.0107,11.22,0.2653,0.905,0.0021
17,81,16.1972,60.33,25.93,19.67,4.4651,11.73,0.2685,0.805,0.0019
2,82,13.0567,55.75,25.17,18.3,3.6144,9.44,0.2342,0.58,0.0014
2,83,14.9971,55.1,27.87,19.07,4.6594,10.34,0.2722,0.615,0.0015
2,84,11.0054,51.96,24.21,18.5,3.3668,7.64,0.2118,0.545,0.0014
2,85,13.568,54.99,27.36,19.06,3.8378,9.73,0.2467,0.45,0.0011
2,86,13.3637,60.6,25.38,22.06,4.5048,8.86,0.2205,0.61,0.0014
2,87,17.6865,60.13,27.02,20.92,4.6876,13,0.2941,0.64,0.0015
10,88,15.0373,54.11,24.54,20.35,4.9269,10.11,0.2779,0.81,0.0021
10,89,17.7286,61.17,27.68,19.29,5.2285,12.5,0.2898,0.8,0.0018
10,90,13.0413,53.806,25.38,18.99,3.6398,9.4,0.2424,0.75,0.0019
10,91,11.1598,54.16,25.33,19.18,4.0147,7.15,0.2061,0.735,0.0018
15,92,18.8636,59.5,27.07,20.68,5.191,13.67,0.317,0.81,0.0019
15,93,12.4626,48.58,27.11,19.21,3.8618,8.6,0.2565,0.845,0.0022
15,94,11.2869,53.33,23.5,18.35,3.3187,7.97,0.2116,0.605,0.0016
15,95,13.8179,54.59,26.28,19.78,4.3855,9.43,0.2531,0.7,0.0017
