site_number,individual ,valve,notch,top,opp,bottom,avg,total_avg,total_avg
53,219,R,0.33,0.2,0.55,1.74,0.71,0.595,
53,220,L,0.45,0.46,0.71,1.45,0.77,,
53,220,R,0.48,0.48,0.61,1.8,0.84,0.805,
53,221,L,0.33,0.19,0.62,1.35,0.62,,
53,221,R,0.4,0.32,0.36,1.52,0.65,0.635,
61,222,L,0.61,0.59,0.51,1.3,0.75,,
61,222,R,0.58,0.57,0.62,2.38,1.04,0.895,
61,223,L,0.21,0.31,0.53,1.28,0.58,,
61,223,R,0.47,0.18,0.39,1.65,0.67,0.625,
61,224,L,0.42,0.61,0.73,1.09,0.71,,
61,224,R,0.36,0.64,0.49,1.55,0.76,0.735,
61,225,L,0.47,0.64,0.61,1.65,0.84,,
61,225,R,0.46,0.59,0.44,1.92,0.85,0.845,
61,226,L,0.4,0.34,0.5,1.24,0.62,,
61,226,R,0.33,0.39,0.54,1.45,0.68,0.65,
69,227,L,0.36,0.73,0.69,1.46,0.81,,
69,227,R,0.44,1.09,0.55,1.75,0.96,0.885,
69,228,L,0.26,0.41,0.35,0.94,0.49,,
69,228,R,0.45,0.36,0.45,2.08,0.84,0.665,
69,229,L,0.5,0.62,0.47,1.37,0.74,,
69,229,R,0.42,0.5,0.69,1.98,0.9,0.82,
69,230,L,0.46,0.54,0.64,1.46,0.78,,
69,230,R,0,0,0,0,0,0.39,
20,231,L,0.64,0.5,0.79,2.01,0.99,,
20,231,R,0.35,0.49,0.67,2.22,0.93,0.96,
20,232,L,0.37,0.16,0.77,1.8,0.78,,
20,232,R,0.46,0.19,0.47,1.71,0.71,0.745,
20,233,L,0.31,0.26,0.59,2.39,0.89,,
20,233,R,0.3,0.46,0.36,2.47,0.9,0.895,
20,234,L,0.27,0.15,0.57,1.61,0.65,,
20,234,R,0.38,0.59,0.33,1.59,0.72,0.685,
76,235,L,0.25,0.31,0.36,1.8,0.68,,
76,235,R,0.13,0.37,0.34,1.75,0.65,0.665,
76,236,L,0.35,0.21,0.34,1.4,0.58,,
76,236,R,0.32,0.27,0.34,1.53,0.62,0.6,
76,237,L,0.47,0.32,0.65,1.88,0.83,,
76,237,R,0.41,0.44,0.47,1.31,0.66,0.745,
76,238,L,0.31,0.42,0.49,1.79,0.75,,
76,238,R,0.3,0.41,0.27,1.93,0.73,0.74,
77,239,L,0,0.54,0.37,1.66,0.64,,
77,239,R,0.39,0.64,0.42,1.57,0.76,0.7,
77,240,L,0.41,0.48,0.57,1.51,0.74,,
77,240,R,0.55,0.51,0.49,1.82,0.84,0.79,
77,241,L,0.35,0.44,0.55,1.81,0.79,,
77,241,R,0.45,0.41,0.52,2.07,0.86,0.825,
77,242,L,0.46,0.44,0.71,2.03,0.91,,
77,242,R,0.37,0.4,0.88,2.16,0.95,0.93,
1,243,L,0.4,0.3,0.39,0.89,0.5,,
1,243,R,0.38,0.1,0.48,1.41,0.59,0.545,
1,244,L,0.31,0.43,0.42,1.21,0.59,,
1,244,R,0.46,0.66,0.35,1.28,0.69,0.64,
1,245,L,0.39,0.69,0.81,1.11,0.75,,
1,245,R,0.64,0.73,0.86,1.87,1.03,0.89,
1,246,L,0.55,0.91,0.72,1.18,0.84,,
1,246,R,0.58,0.78,0.8,1.82,1,0.92,
1,247,L,0.77,0.91,0.65,1.32,0.91,,
1,247,R,0.78,0.89,0.5,2.12,1.07,0.99,
1,248,L,0.51,0.39,0.69,1.4,0.75,,
1,248,R,0.43,0.47,0.49,2.18,0.89,0.82,
52,249,L,0.63,0.48,0.52,1.65,0.82,,
52,249,R,0.73,0.33,0.56,1.99,0.9,0.86,
52,250,L,0.27,0.43,0.71,1.58,0.75,,
52,250,R,0.39,0.5,0.82,1.46,0.79,0.77,
52,251,L,0.32,0.49,0.44,1.41,0.67,,
52,251,R,0.34,0.41,0.43,1.65,0.71,0.69,
26,252,L,0.32,0.26,0.39,1.24,0.55,,
26,252,R,0.31,0.15,0.39,1.56,0.6,0.575,
52,253,L,0.19,0.46,0.57,1.44,0.67,,
52,253,R,0.46,0.63,0.33,2.23,0.91,0.79,
26,254,L,0.27,0.39,0.27,1.08,0.5,,
26,254,R,0.44,0.22,0.39,1.86,0.73,0.615,
26,255,L,0.54,0.39,0.59,1.52,0.76,,
26,255,R,0.56,0.3,0.43,1.93,0.81,0.785,
26,256,L,0.36,0.58,0.5,1.23,0.67,,
26,256,R,0.42,0.38,0.51,1.69,0.75,0.71,
24,257,L,0.32,0.14,0.37,0.94,0.44,,
24,257,R,0.2,0.16,0.26,1.52,0.54,0.49,
24,258,L,0.4,0.41,0.38,1.32,0.63,,
24,258,R,0.18,0.46,0.46,1.32,0.61,0.62,
24,259,L,0.25,0.27,0.47,1.62,0.65,,
24,259,R,0.18,0.24,0.33,1.38,0.53,0.59,
24,260,L,0.29,0.21,0.45,1.22,0.54,,
24,260,R,0.34,0.22,0.42,1.13,0.53,0.535,
33,261,L,0.33,0.16,0.43,1.74,0.67,,
33,261,R,0.26,0.14,0.12,1.69,0.55,0.61,
33,262,L,0.24,0.12,0.21,1.6,0.54,,
33,262,R,0.35,0.09,0.23,1.72,0.6,0.57,
33,263,L,0.21,0.21,0.27,1.66,0.59,,
33,263,R,0.17,0.25,0.33,1.67,0.61,0.6,
33,264,L,0.24,0.17,0.54,1.63,0.65,,
33,264,R,0.21,0.32,0.28,1.76,0.64,0.645,
44,265,L,0.16,0.1,0.36,1.96,0.65,,
44,265,R,0.12,0.28,0.43,2.61,0.86,0.755,
44,266,L,0.17,0.16,0.54,1.7,0.64,,
44,266,R,0.25,0.09,0.37,1.81,0.63,0.635,
44,267,L,0.23,0.05,0.45,2.05,0.7,,
44,267,R,0.12,0.12,0.41,2.1,0.69,0.695,
44,268,L,0.25,0.41,0.54,2.19,0.85,,
44,268,R,0.26,0.44,0.3,2.41,0.85,0.85,
30,269,L,0.2,0.11,0.34,1.86,0.63,,
30,269,R,0.15,0.14,0.28,2.06,0.66,0.645,
30,270,L,0.21,0.07,0.36,1.75,0.6,,
30,270,R,0.41,0.1,0.21,1.37,0.52,0.56,
30,271,L,0.28,0.23,0.44,2.32,0.82,,
30,271,R,0.21,0.19,0.45,2.18,0.76,0.79,
30,272,L,0.38,0.19,0.38,1.63,0.65,,
30,272,R,0.28,0.16,0.49,1.73,0.67,0.66,
39,273,L,0.4,0.29,0.26,1.62,0.64,,
39,273,R,0.15,0.28,0.31,1.94,0.67,0.655,
39,274,L,0.41,0.12,0.46,2.36,0.84,,
39,274,R,0.24,0.55,0.54,2.09,0.86,0.85,
39,275,L,0.3,0.2,0.55,2.25,0.83,,
39,275,R,0.35,0.16,0.38,1.92,0.7,0.765,
39,276,L,0.3,0.69,0.72,1.8,0.88,,
39,276,R,0.33,0.24,0.46,1.93,0.74,0.81,
22,277,L,0.29,0.64,0.35,1.55,0.71,,
22,277,R,0.25,0.46,0.45,1.83,0.75,0.73,
22,278,L,0.32,0.42,0.44,1.72,0.73,,
22,278,R,0.28,0.45,0.56,1.91,0.8,0.765,
22,279,L,0.6,0.55,0.47,2.13,0.94,,
22,279,R,0.56,0.52,0.48,2.3,0.97,0.955,
22,280,L,0.48,0.6,0.51,1.46,0.76,,
22,280,R,0.53,0.57,0.49,1.78,0.84,0.8,
13,281,L,0.39,0.34,0.35,2.59,0.92,,
13,281,R,0.33,0.24,0.59,2.52,0.92,0.92,
13,282,L,0.52,0.43,0.83,2.18,0.99,,
13,282,R,0.38,0.33,0.71,2.35,0.94,0.965,
13,283,L,0.65,0.3,0.67,1.81,0.86,,
13,283,R,0.45,0.28,0.77,1.92,0.86,0.86,
13,284,L,0.31,0.45,0.63,2.22,0.9,,
13,284,R,0.42,0.32,0.84,2.44,1.01,0.955,
13,285,L,0.37,0.28,0.56,2.24,0.86,,
13,285,R,0.23,0.29,0.52,2.52,0.89,0.875,
13,286,L,0.37,0.32,0.38,1.44,0.63,,
13,286,R,0.34,0.43,0.47,1.4,0.66,0.645,
16,287,L,0.66,0.11,0.41,1.58,0.69,,
16,287,R,0.35,0.12,0.35,1.78,0.65,0.67,
16,288,L,0.41,0.4,0.51,1.93,0.81,,
16,288,R,0.4,0.26,0.52,1.95,0.78,0.795,
16,289,L,0.49,0.11,0.36,1.86,0.71,,
16,289,R,0.4,0.13,0.43,1.98,0.74,0.725,
16,290,L,0.18,0.22,0.39,1.75,0.64,,
16,290,R,0.18,0.28,0.38,1.7,0.64,0.64,
18,291,L,0.21,0.09,0.07,1.8,0.54,,
18,291,R,0.25,0.09,0.21,1.78,0.58,0.56,
18,292,L,0.4,0.21,0.38,1.34,0.58,,
18,292,R,0.3,0.13,0.32,1.54,0.57,0.575,
18,293,L,0.28,0.48,0.21,1.08,0.51,,
18,293,R,0.28,0.32,0.2,1.26,0.52,0.515,
18,294,L,0.25,0.16,0.33,1.35,0.52,,
18,294,R,0.22,0.13,0.29,1.89,0.63,0.575,
27,295,L,0.36,0.17,0.54,1.52,0.65,,
27,295,R,0.41,0.18,0.48,1.9,0.74,0.695,
27,296,L,0.24,0.1,0.46,1.64,0.61,,
27,296,R,0.3,0.04,0.36,1.63,0.58,0.595,
27,297,L,0.46,0.26,0.4,1.84,0.74,,
27,297,R,0.38,0.25,0.31,2.05,0.75,0.745,
27,298,L,0.41,0.39,0.42,1.55,0.69,,
27,298,R,0.45,0.39,0.46,1.69,0.75,0.72,
37,299,L,0.29,0.19,0.32,1.71,0.63,,
37,299,R,0.28,0.13,0.4,1.95,0.69,0.66,
37,300,L,0.35,0.26,0.47,1.85,0.73,,
37,300,R,0.44,0.38,0.44,1.83,0.77,0.75,
37,301,L,0.33,0.39,0.86,1.84,0.86,,
37,301,R,0.37,0.27,0.66,1.68,0.75,0.805,
37,302,L,0.47,0.31,0.61,1.96,0.84,,
37,302,R,0.26,0.35,0.45,1.87,0.73,0.785,
7,303,L,0.39,0.29,0.69,1.57,0.74,,
7,303,R,0.33,0.29,0.53,1.84,0.75,0.745,
7,304,L,0.24,0.2,0.59,1.7,0.68,,
7,304,R,0.33,0.27,0.33,2.15,0.77,0.725,
7,305,L,0.36,0.19,0.31,2.5,0.84,,
7,305,R,0.28,0.09,0.55,2.54,0.87,0.855,
7,306,L,0.35,0.27,0.47,1.98,0.77,,
7,306,R,0.29,0.2,0.31,2.09,0.72,0.745,
11,307,L,0.31,0.16,0.41,1.6,0.62,,
11,307,R,0.25,0.1,0.33,1.71,0.6,0.61,
11,308,L,0.35,0.18,0.36,1.87,0.69,,
11,308,R,0.33,0.29,0.47,1.8,0.72,0.705,
11,309,L,0.48,0.36,0.75,2.03,0.91,,
11,309,R,0.47,0.24,0.64,2.22,0.89,0.9,
11,310,L,0.35,0.53,0.31,1.54,0.68,,
11,310,R,0.35,0.5,0.39,1.59,0.71,0.695,
11,311,L,0.32,0.15,0.29,1.79,0.64,,
11,311,R,0.24,0.18,0.44,1.47,0.58,0.61,
11,312,L,0.4,0.16,0.5,1.75,0.7,,
11,312,R,0.27,0.12,0.36,1.83,0.65,0.675,
