site_number,individual ,valve,notch,top,opp,bottom,avg,total_avg,total_avg
60,49,R,0.19,0.49,0.15,0.58,0.35,0.355,0.75
60,50,L,0.24,0.18,0.21,1.05,0.42,,0.755
60,50,R,0.27,0.19,0.24,0.86,0.39,0.405,0.825
60,51,L,0.24,0.35,0.27,0.95,0.45,,0.75
60,51,R,0.44,0.64,0.31,1.43,0.71,0.58,0.995
60,52,L,0.36,0.37,0.22,0.94,0.47,,1.045
60,52,R,0.6,0.33,0.36,0.97,0.57,0.52,0.725
25,53,L,0.39,0.36,0.39,1.79,0.73,,0.69
25,53,R,0.66,0.43,0.51,1.93,0.88,0.805,0.755
25,54,L,0.57,0.29,0.42,1.65,0.73,,0.575
25,54,R,0.6,0.44,0.6,1.85,0.87,0.8,0.63
25,55,L,0.45,0.18,0.57,1.55,0.69,,0.685
25,55,R,0.67,0.47,0.71,2.23,1.02,0.855,0.79
25,56,L,0.88,0.4,0.56,2.01,0.96,,0.79
25,56,R,0.6,0.23,0.36,1.93,0.78,0.87,0.87
31,57,L,0.36,0.31,0.48,1.65,0.7,,0.905
31,57,R,0.79,0.25,0.77,1.89,0.93,0.815,0.635
31,58,L,0.64,0.5,0.64,2.2,1,,0.93
31,58,R,0.67,0.29,0.56,1.77,0.82,0.91,0.87
31,59,L,0.61,0.41,1.14,1.9,1.02,,0.895
31,59,R,0.52,0.46,0.93,2.18,1.02,1.02,0.87
31,60,L,0.54,0.49,0.69,1.74,0.87,,0.89
31,60,R,0.25,0.52,0.59,1.75,0.78,0.825,0.925
63,61,L,0.54,0.49,0.69,1.74,0.87,,0.95
63,61,R,0.26,0.08,0.34,1.68,0.59,0.73,0.85
63,62,L,0.59,0.16,0.29,1.84,0.72,,0.935
63,62,R,0.29,0.44,0.62,1.82,0.79,0.755,0.685
63,63,L,0,0,0.86,2.15,0.75,,0.8
63,63,R,0.4,0.31,0.44,1.77,0.73,0.74,1.035
63,64,L,0.67,0.61,0.57,2.15,1,,0.885
63,64,R,0.43,0.26,0.29,1.63,0.65,0.825,1
71,65,L,0.54,0.21,0.72,1.46,0.73,,1.08
71,65,R,0.48,0.25,0.6,2.15,0.87,0.8,1.26
71,66,L,0.71,0.52,0.87,2.51,1.15,,0.89
71,66,R,0.42,0.65,0.63,1.42,0.78,0.965,0.845
71,67,L,0.28,0.43,0.64,1.24,0.65,,1.025
71,67,R,0.24,0.12,0.49,0.84,0.42,0.535,1.1
71,68,L,0.51,0.45,0.72,1.99,0.92,,0.875
71,68,R,0.5,0.4,0.66,1.59,0.79,0.855,0.945
19,69,L,0.48,0.47,0.45,2.02,0.86,,0.855
19,69,R,0.48,0.57,0.46,2.15,0.92,0.89,0.835
19,70,L,0.29,0.27,0.34,1.37,0.57,,0.735
19,70,R,0.61,0.53,0.39,2.1,0.91,0.74,1
19,71,L,0.37,0.17,0.51,1.21,0.57,,0.745
19,71,R,0.6,0.2,0.54,1.31,0.66,0.615,0.97
19,72,L,0.35,0.71,0.61,2.09,0.94,,0.9
19,72,R,0.39,0.64,0.37,2.31,0.93,0.935,0.815
19,73,L,0.24,0.73,0.37,2.39,0.93,,0.805
19,73,R,0.3,0.58,0.64,2.26,0.95,0.94,0.88
47,74,L,0.7,0.42,0.79,2.51,1.11,,0.96
47,74,R,0.86,0.53,0.97,2.76,1.28,1.195,0.73
47,75,L,0.39,0.31,0.47,1.6,0.69,,0.89
47,75,R,0.33,0.31,0.41,1.82,0.72,0.705,0.68
47,76,L,0.44,0.11,0.71,2.12,0.85,,1.075
47,76,R,0.54,0.18,0.37,2.13,0.81,0.83,0.71
47,77,L,0.7,0.72,0.53,1.7,0.91,,0.71
47,77,R,0.6,0.58,0.75,1.86,0.95,0.93,0.785
17,78,L,0.44,0.55,0.34,1.52,0.71,,0.72
17,78,R,0.61,0.39,0.32,1.88,0.8,0.755,1.005
17,79,L,0.54,0.44,0.74,2.06,0.95,,0.82
17,79,R,0.37,0.45,0.48,2.15,0.86,0.905,0.955
17,80,L,0.69,0.25,0.64,1.87,0.86,,0.75
17,80,R,0.62,0.34,0.56,2.29,0.95,0.905,0.75
17,81,L,0.31,0.78,0.47,1.43,0.75,,0.83
17,81,R,0.32,0.64,0.58,1.91,0.86,0.805,0.745
2,82,L,0.28,0.1,0.19,0.96,0.38,,0.805
2,82,R,0.43,0.27,0.54,1.86,0.78,0.58,0.75
2,83,L,0.44,0.56,0.45,1.02,0.62,,0.875
2,83,R,0.36,0.32,0.16,1.59,0.61,0.615,0.815
