"site_name","latitude","longitude","PCB101","PCB105","PCB011","PCB110","PCB118","PCB128","PCB138","PCB149","PCB151","PCB153","PCB156","PCB158","PCB017","PCB170","PCB171","PCB177","PCB018","PCB180","PCB183","PCB187","PCB191","PCB194","PCB195","PCB198","PCB199","PCB205","PCB206","PCB208","PCB209","PCB028","PCB031","PCB033","PCB044","PCB049","PCB052","PCB066","PCB070","PCB074","PCB082","PCB087","PCB095","PCB099","z_PCB101","z_PCB105","z_PCB011","z_PCB110","z_PCB118","z_PCB128","z_PCB138","z_PCB149","z_PCB151","z_PCB153","z_PCB156","z_PCB158","z_PCB017","z_PCB170","z_PCB171","z_PCB177","z_PCB018","z_PCB180","z_PCB183","z_PCB187","z_PCB191","z_PCB194","z_PCB195","z_PCB198","z_PCB199","z_PCB205","z_PCB206","z_PCB208","z_PCB209","z_PCB028","z_PCB031","z_PCB033","z_PCB044","z_PCB049","z_PCB052","z_PCB066","z_PCB070","z_PCB074","z_PCB082","z_PCB087","z_PCB095","z_PCB099","ai_z_PCB101","ai_z_PCB105","ai_z_PCB011","ai_z_PCB110","ai_z_PCB118","ai_z_PCB128","ai_z_PCB138","ai_z_PCB149","ai_z_PCB151","ai_z_PCB153","ai_z_PCB156","ai_z_PCB158","ai_z_PCB017","ai_z_PCB170","ai_z_PCB171","ai_z_PCB177","ai_z_PCB018","ai_z_PCB180","ai_z_PCB183","ai_z_PCB187","ai_z_PCB191","ai_z_PCB194","ai_z_PCB195","ai_z_PCB198","ai_z_PCB199","ai_z_PCB205","ai_z_PCB206","ai_z_PCB208","ai_z_PCB209","ai_z_PCB028","ai_z_PCB031","ai_z_PCB033","ai_z_PCB044","ai_z_PCB049","ai_z_PCB052","ai_z_PCB066","ai_z_PCB070","ai_z_PCB074","ai_z_PCB082","ai_z_PCB087","ai_z_PCB095","ai_z_PCB099"
"Penn Cove Baseline",48.218047,-122.712359,0.23,0.22,0,0,0,0,0,0.205,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0.15,0,0.2,0.15,0.21,0,0,0.15,0.145,0.13,-1.03168438460911,-0.0558385468660004,NA,-0.574233955427028,-0.40281236664825,-0.47453254680727,-0.377375668899706,-0.683085547564605,-0.325643257133275,-0.556016418100663,-0.115470053837925,-0.162716982384552,2.0654371606019,-0.115470053837925,NA,-0.286085169148766,-1.32499453780359,-0.500898342938004,-0.286546897130171,-0.696907776681608,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.13700680285082,-1.45894094699295,0.340469273818835,0.563165337596716,-0.421261862198189,-0.334884175990598,0.186781373084669,0.225572120981534,-0.263493965884121,NA,0.477108149546138,-0.47988827953324,-0.461184225150301,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0
"Aiston Preserve",48.6793778,-122.6300583,0.28,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0.23,0,0,0,0,0,0,0,0,0,0,-0.870885696234872,-1.33547191254518,NA,-0.574233955427028,-0.40281236664825,-0.47453254680727,-0.377375668899706,-0.639693608490061,-0.325643257133275,-0.556016418100663,-0.115470053837925,-0.162716982384552,-0.314942545765538,-0.115470053837925,NA,-0.286085169148766,-1.32499453780359,-0.500898342938004,-0.286546897130171,-0.696907776681608,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.287965455703303,-1.45894094699295,0.340469273818835,-0.648232377118973,-0.421261862198189,-1.48700863467385,-0.799739963630132,-0.966629525145701,-0.263493965884121,NA,-0.63416859629114,-1.12738021997046,-1.06882560288212,0.160798688374238,1.27963336567918,NA,0,0,0,0,0.0433919390745444,0,0,0,0,2.38037970636744,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.42497225855413,0,0,1.21139771471569,0,1.15212445868325,0.9865213367148,1.19220164612724,0,NA,1.11127674583728,0.647491940437218,0.607641377731816
"Arroyo Beach",47.50159,-122.38577,0.51,0.29,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0.28,0,0,0,0.26,0,0.25,0,0,0,0.28,0.26,-0.131211729713378,0.351317524031919,NA,-0.574233955427028,-0.40281236664825,-0.47453254680727,-0.377375668899706,0.0256494573196198,-0.325643257133275,-0.556016418100663,-0.115470053837925,-0.162716982384552,-0.314942545765538,-0.115470053837925,NA,-0.286085169148766,0.355252158686469,-0.500898342938004,-0.286546897130171,-0.696907776681608,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0909364596957794,0.0760169631699737,-1.61722905063947,-0.648232377118973,-0.421261862198189,0.0107531616143768,-0.799739963630132,0.452658148815293,-0.263493965884121,NA,-0.63416859629114,0.122949044322101,0.146457152581515,0.900472654895733,0.407156070897919,NA,0,0,0,0,0.708735004884225,0,0,0,0,2.38037970636744,0,NA,0,1.68024669649006,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.04607034315504,1.53495791016292,1.9576983244583,1.21139771471569,0,0.345637337604975,0.9865213367148,0.227086027833759,0,NA,1.11127674583728,0.602837323855341,0.607641377731816
"Blair Waterway",47.2758,-122.4174,0.53,0.3,0,0,0,0,0,0.44,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0.37,0.25,0.25,0,0.35,0,0.32,0,0,0,0.33,0.28,-0.0668922543636824,0.409482677017336,NA,-0.574233955427028,-0.40281236664825,-0.47453254680727,-0.377375668899706,-0.00327850206340982,-0.325643257133275,-0.556016418100663,-0.115470053837925,-0.162716982384552,-0.314942545765538,-0.115470053837925,NA,-0.286085169148766,0.595287401042192,-0.500898342938004,-0.286546897130171,-0.696907776681608,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.439526221862936,0.569396291436627,0.510703910728253,1.37076381407384,-0.421261862198189,0.529209168021839,-0.799739963630132,0.850058697524372,-0.263493965884121,NA,-0.63416859629114,0.346222127231487,0.239940441463332,0.964792130245428,0.465321223883336,NA,0,0,0,0,0.679807045501196,0,0,0,0,2.38037970636744,0,NA,0,1.92028193884578,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.57653302471376,2.02833723842957,0.170234636909417,0.807598476477126,0,0.864093344012437,0.9865213367148,0.624486576542838,0,NA,1.11127674583728,0.826110406764727,0.701124666613634
"Blair Waterway Two",47.2632,-122.3856,0.6,0,0,0,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0.39,0.28,0,0,0,0,0.36,0.33,0.158225909360251,-1.33547191254518,NA,-0.574233955427028,-0.40281236664825,-0.47453254680727,-0.377375668899706,-0.0322064614464394,-0.325643257133275,-0.556016418100663,-0.115470053837925,-0.162716982384552,-0.314942545765538,-0.115470053837925,NA,-0.286085169148766,-1.32499453780359,-0.500898342938004,-0.286546897130171,-0.696907776681608,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.363745838783119,-1.45894094699295,-1.61722905063947,-0.648232377118973,-0.421261862198189,0.759634059758489,1.04176653157083,-0.966629525145701,-0.263493965884121,NA,-0.63416859629114,0.480185976977118,0.473648663667877,1.18991029396936,1.27963336567918,NA,0,0,0,0,0.650879086118166,0,0,0,0,2.38037970636744,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.50075264163394,0,1.9576983244583,1.21139771471569,0,1.09451823574909,0.85498515848616,1.19220164612724,0,NA,1.11127674583728,0.960074256510358,0.934832888818178
"Brackenwood Ln",47.68203,-122.50668,0.47,0,0,0,0,0,0,0.42,0,0,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.34,0,0,0,0.27,0,0,0,0,0,0.28,0,-0.259850680412768,-1.33547191254518,NA,-0.574233955427028,-0.40281236664825,-0.47453254680727,-0.377375668899706,-0.0611344208294691,-0.325643257133275,-0.556016418100663,-0.115470053837925,-0.162716982384552,-0.314942545765538,-0.115470053837925,NA,-0.286085169148766,0.535278590453261,-0.500898342938004,-0.286546897130171,-0.696907776681608,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.287965455703303,0.404936515347742,-1.61722905063947,-0.648232377118973,-0.421261862198189,0.0683593845485393,-0.799739963630132,-0.966629525145701,-0.263493965884121,NA,-0.63416859629114,0.122949044322101,-1.06882560288212,0.771833704196342,1.27963336567918,NA,0,0,0,0,0.621951126735136,0,0,0,0,2.38037970636744,0,NA,0,1.86027312825685,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.42497225855413,1.86387746234069,1.9576983244583,1.21139771471569,0,0.403243560539137,0.9865213367148,1.19220164612724,0,NA,1.11127674583728,0.602837323855341,0.607641377731816
"Broad Spit",47.80934,-122.81556,0.26,0.22,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.21,0,0,0,0,0,-0.935205171584568,-0.0558385468660004,NA,-0.574233955427028,-0.40281236664825,-0.47453254680727,-0.377375668899706,-0.69754952725612,-0.325643257133275,-0.556016418100663,-0.115470053837925,-0.162716982384552,-0.314942545765538,-0.115470053837925,NA,-0.286085169148766,-1.32499453780359,-0.500898342938004,-0.286546897130171,-0.696907776681608,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.13700680285082,-1.45894094699295,0.0851173184547091,-0.648232377118973,-0.421261862198189,-1.48700863467385,-0.799739963630132,0.225572120981534,-0.263493965884121,NA,-0.63416859629114,-1.12738021997046,-1.06882560288212,0.0964792130245429,0,NA,0,0,0,0,0.0144639796915147,0,0,0,0,2.38037970636744,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.255351955364126,1.21139771471569,0,1.15212445868325,0.9865213367148,0,0,NA,1.11127674583728,0.647491940437218,0.607641377731816
"Browns Point Lighthouse",47.304906,-122.44427,0.57,0.3,0,0,0,0,0,0.44,0,0,0,0,0,0,0,0,0.3,0,0,0.21,0,0,0,0,0,0,0,0,0,0.3,0.37,0.25,0.2,0,0.32,0.21,0.28,0,0,0,0.3,0.3,0.0617466963357077,0.409482677017336,NA,-0.574233955427028,-0.40281236664825,-0.47453254680727,-0.377375668899706,-0.00327850206340982,-0.325643257133275,-0.556016418100663,-0.115470053837925,-0.162716982384552,-0.314942545765538,-0.115470053837925,NA,-0.286085169148766,0.475269779864331,-0.500898342938004,-0.286546897130171,0.276168241291382,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13640468954367,0.569396291436627,0.510703910728253,0.966964575835279,-0.421261862198189,0.356390499219351,0.581389907770589,0.622972669690613,-0.263493965884121,NA,-0.63416859629114,0.212258277485856,0.33342373034515,1.09343108094482,0.465321223883336,NA,0,0,0,0,0.679807045501196,0,0,0,0,2.38037970636744,0,NA,0,1.80026431766792,0,0,0.973076017972989,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.27341149239449,2.02833723842957,0.170234636909417,0.403799238238563,0,0.691274675209949,0.39460853468592,0.397400548709079,0,NA,1.11127674583728,0.692146557019095,0.794607955495451
"Cap Sante",48.52093,-122.600725,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0.21,0,0,0,0,0,0,0,0,0,0,-0.806566220885177,-1.33547191254518,NA,-0.574233955427028,-0.40281236664825,-0.47453254680727,-0.377375668899706,-1.27610871491671,-0.325643257133275,-0.556016418100663,-0.115470053837925,-0.162716982384552,-0.314942545765538,-0.115470053837925,NA,-0.286085169148766,-1.32499453780359,-0.500898342938004,-0.286546897130171,-0.696907776681608,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.212185072623486,-1.45894094699295,0.170234636909418,-0.648232377118973,-0.421261862198189,-1.48700863467385,-0.799739963630132,-0.966629525145701,-0.263493965884121,NA,-0.63416859629114,-1.12738021997046,-1.06882560288212,0.225118163723933,1.27963336567918,NA,0,0,0,0,0.593023167352107,0,0,0,0,2.38037970636744,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.34919187547431,0,0.170234636909418,1.21139771471569,0,1.15212445868325,0.9865213367148,1.19220164612724,0,NA,1.11127674583728,0.647491940437218,0.607641377731816
"Chambers Bay Park",47.2009,-122.58342,0.45,0.25,0,0,0,0,0,0.38,0,0,0,0,0,0,0,0,0.22,0,0,0.18,0,0,0,0,0,0,0,0,0,0.27,0.3,0.21,0.15,0,0.24,0.16,0.24,0,0,0.17,0.25,0.24,-0.324170155762463,0.118656912090251,NA,-0.574233955427028,-0.40281236664825,-0.47453254680727,-0.377375668899706,-0.176846258361587,-0.325643257133275,-0.556016418100663,-0.115470053837925,-0.162716982384552,-0.314942545765538,-0.115470053837925,NA,-0.286085169148766,-0.00480070484711493,-0.500898342938004,-0.286546897130171,0.137157381580955,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0909364596957794,0.185656813895896,0.170234636909418,0.563165337596716,-0.421261862198189,-0.104459284253948,0.252549462198989,0.395886641856853,-0.263493965884121,NA,0.625278382324442,-0.01101480542353,0.0529738636996966,0.707514228846647,0.174495458956251,NA,0,0,0,0,0.506239289203018,0,0,0,0,2.38037970636744,0,NA,0,1.32019383295648,0,0,0.834065158262562,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.04607034315504,1.64459776088884,0.170234636909418,0,0,0.23042489173665,0.0657680891143201,0.170314520875319,0,NA,0.148170232778304,0.46887347410971,0.514158088849998
