"","Aiston Preserve","Arroyo Beach","Blair Waterway","Blair Waterway #2","Brackenwood Ln","Broad Spit (Fisherman's Point)","Browns Point Lighthouse","Cap Sante","Chambers Bay Park","Cherry Point Aquatic Reserve, Conoco Phillips","Chimacum Creek delta","Chuckanut, Clark's Point","Comm Bay Skookum","Comm Bay, Dick Gilmur Launch","Comm Bay, Milwaukee Waterway","Des Moines Marina","Discovery Bay","Donkey Creek Delta","Eagle Harbor Dr","Eastsound, Fishing Bay","Edmonds Ferry","Edmonds Marina","Eld Inlet","Elliot Bay Myrtle Edwards","Elliott Bay, Harbor Island, Pier 17","Everett Harbor","Fidalgo Bay Aq Reserve, Weaverling Spit","Filucy Bay","Friday Harbor","Gig Harbor Boat Launch","Hood Canal Holly","Jamestown","Kingston Marina","Kitsap St Boat Launch","Kopachuck State Park","Lions Park","Locust Beach","Madrona Pont","Manchester, Stormwater Outfall","Maple Hollow Park","Maristone Island","Meyer's Point - Henderson Inlet","Miller Creek","Minter Bay","Mukilteo","N Avenue Park","North Camano","Oak Bay County Park","Penn Cove Reference","Pennrose Point State Park","Point Defiance Ferry","Port Angeles Yacht Club","Purdy - Dexters","Purdy, Burley Lagoon","Raft Island Park","Reach Island","Rich Passage","Rocky Point","S of Skunk Island","Salmon Bay, Commodore Park","Salmon Beach","Seattle Aquarium, Pier 59","Shilshole Bay","Silverdale, Dyes Inlet","Skiff Point","Smith Cove, Terminal 91","Squaxin Island","Suquamish Stormwater Outfall","Thea Foss Waterway","Three Tree Point","Tulalip Bay","Tulalip Reservation","West Bay Park"
"Arroyo Beach",0.51512637867647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blair Waterway",0.807667446393762,0.389127118644068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blair Waterway #2",0.241228551336146,0.85283788987293,0.257920424403183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brackenwood Ln",0.333,0.201208097165992,0.445691848906561,0.225247988295538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Broad Spit (Fisherman's Point)",0.180391696750903,0.128444293478261,0.306382089552239,0.128444293478261,0.916955915599096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Browns Point Lighthouse",0.571502194907814,0.308958726415094,0.538988789237668,0.225247988295538,0.161082002129925,0.128444293478261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cap Sante",0.228501084598699,0.307260869565217,0.554112788632327,0.611828729281768,0.480322409638554,0.309274809160305,0.200155537459283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chambers Bay Park",0.128444293478261,0.162646594274432,0.15058956109134,0.393391029023747,0.128444293478261,0.128444293478261,0.15594688221709,0.16206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cherry Point Aquatic Reserve, Conoco Phillips",0.401825039287585,0.912238005289006,0.298652490886999,0.706599919257166,0.128444293478261,0.128444293478261,0.217298496240601,0.297357798165138,0.164727008712488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chimacum Creek delta",0.219217423678332,0.447716476991588,0.161082002129925,0.530205324909747,0.128444293478261,0.128444293478261,0.160809261300992,0.154794152046784,0.128444293478261,0.70365857605178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
