"","Df","SumOfSqs","R2","F","Pr(>F)"
"Model",4,71.9555614950825,0.0402436026258851,3.08193287494135,0.001
"Residual",294,1716.04443850492,0.959756397374115,NA,NA
"Total",298,1788,1,NA,NA
