"Group1","Group2","Z","P.unadj","P.adj","Significant","Group1_CLD","Group2_CLD"
"2","7",-3.31325362942617,9e-04,0.0166,"Yes","ac","b"
"5","8",-3.02038976869753,0.0025,0.0182,"Yes","c","b"
"2","8",-2.9361504192117,0.0033,0.0199,"Yes","ac","b"
"2","9",-2.87493665042316,0.004,0.0208,"Yes","ac","b"
"5","7",-3.43217205156862,6e-04,0.0216,"Yes","c","b"
"5","9",-3.03237232386624,0.0024,0.0218,"Yes","c","b"
"6","8",-2.77613453199085,0.0055,0.0248,"Yes","ac","b"
"6","7",-3.05757981366105,0.0022,0.0268,"Yes","ac","b"
"1","5",2.54654925838594,0.0109,0.0392,"Yes","ab","c"
"6","9",-2.56764521532815,0.0102,0.041,"Yes","ac","b"
"1","2",2.33285143484202,0.0197,0.0643,"No","ab","ac"
"3","5",2.15644978428384,0.031,0.0931,"No","abc","c"
"1","7",-1.97908911056211,0.0478,0.1147,"No","ab","b"
"1","6",1.99274032072423,0.0463,0.119,"No","ab","ac"
"3","7",-1.93234319436327,0.0533,0.12,"No","abc","b"
"2","3",-2.01209647118377,0.0442,0.1224,"No","ac","abc"
"3","6",1.80278082519756,0.0714,0.1512,"No","abc","ac"
"3","8",-1.67695995195496,0.0936,0.1773,"No","abc","b"
"1","8",-1.6949507472901,0.0901,0.1802,"No","ab","b"
"2","4",-1.42794273349169,0.1533,0.2509,"No","ac","abc"
"4","6",1.4404736576497,0.1497,0.2567,"No","abc","ac"
"4","5",1.46241913894598,0.1436,0.2585,"No","abc","c"
"1","9",-1.19447809870811,0.2323,0.3484,"No","ab","b"
"3","9",-1.16907734672873,0.2424,0.349,"No","abc","b"
"4","7",-1.19676130515167,0.2314,0.3622,"No","abc","b"
"4","8",-1.08944804129946,0.276,0.3821,"No","abc","b"
"7","9",0.920750888370837,0.3572,0.4762,"No","b","b"
"8","9",0.787786615857841,0.4308,0.5539,"No","b","b"
"4","9",-0.540584162998399,0.5888,0.7309,"No","abc","b"
"2","6",0.206003223156426,0.8368,0.9414,"No","ac","ac"
"1","4",-0.162324789153174,0.8711,0.9502,"No","ab","abc"
"3","4",-0.209559157122266,0.834,0.9685,"No","abc","abc"
"1","3",0.105176188511636,0.9162,0.9701,"No","ab","abc"
"7","8",0.0417829375430604,0.9667,0.9943,"No","b","b"
"5","6",0.21628367046443,0.8288,0.9945,"No","c","ac"
"2","5",-0.00264259316183562,0.9979,0.9979,"No","ac","c"
