"Group1","Group2","Z","P.unadj","P.adj","Significant","Group1_CLD","Group2_CLD"
"13","7",4.12674236108445,0,0.0013,"Yes","a","b"
"11","7",3.32902304965653,9e-04,0.0157,"Yes","a","b"
"12","13",-2.81600256788564,0.0049,0.0584,"No","ab","a"
"10","13",-2.66541257072501,0.0077,0.0692,"No","ab","a"
"11","12",2.29380526917619,0.0218,0.157,"No","a","ab"
"10","7",2.03051202048768,0.0423,0.2538,"No","ab","b"
"13","9",1.90736857171063,0.0565,0.2541,"No","a","ab"
"7","8.1",-1.94276611152156,0.052,0.2677,"No","b","ab"
"7","9",-1.64762216221786,0.0994,0.2753,"No","b","ab"
"13","6",1.70978300210069,0.0873,0.2857,"No","a","ab"
"10","11",-1.66329865045946,0.0963,0.2888,"No","ab","a"
"12","8.1",-1.79185838303977,0.0732,0.2926,"No","ab","ab"
"7","8.2",-1.72570313342957,0.0844,0.3038,"No","b","ab"
"10","12",1.48341921195733,0.138,0.3311,"No","ab","ab"
"12","8.2",-1.49180179701957,0.1358,0.3491,"No","ab","ab"
"12","9",-1.38158787262041,0.1671,0.3539,"No","ab","ab"
"13","8.2",1.39646230220824,0.1626,0.3658,"No","a","ab"
"6","7",1.30212247871502,0.1929,0.3857,"No","ab","b"
"12","6",-1.19585608115269,0.2318,0.4391,"No","ab","ab"
"11","9",1.14326453748602,0.2529,0.4553,"No","a","ab"
"11","6",1.06584638116052,0.2865,0.4911,"No","a","ab"
"11","13",-1.02067719681818,0.3074,0.503,"No","a","a"
"10","8.1",-0.945775136344245,0.3443,0.5388,"No","ab","ab"
"8.1","9",0.830708071132682,0.4061,0.5848,"No","ab","ab"
"6","8.1",-0.849601087490088,0.3955,0.5933,"No","ab","ab"
"11","8.2",0.718162749868825,0.4727,0.6544,"No","a","ab"
"8.1","8.2",0.615597165888611,0.5382,0.7175,"No","ab","ab"
"13","8.1",0.308996928090486,0.7573,0.9088,"No","a","ab"
"8.2","9",0.242252320883073,0.8086,0.9097,"No","ab","ab"
"12","7",-0.259410343020615,0.7953,0.9236,"No","ab","b"
"11","8.1",-0.186599845850043,0.852,0.9294,"No","a","ab"
"6","8.2",-0.309406283407125,0.757,0.9397,"No","ab","ab"
"10","8.2",-0.342790913852433,0.7318,0.9408,"No","ab","ab"
"10","6",0.0602903933820606,0.9519,0.9519,"No","ab","ab"
"10","9",-0.0681806981588893,0.9456,0.9727,"No","ab","ab"
"6","9",-0.100803198927356,0.9197,0.9738,"No","ab","ab"
