"Group1","Group2","Z","P.unadj","P.adj","Significant","Group1_CLD","Group2_CLD"
"4","6",3.61490225124886,3e-04,0.0045,"Yes","b","a"
"3","4",-3.03580567658523,0.0024,0.018,"Yes","a","b"
"1","4",-2.76226314257476,0.0057,0.0287,"Yes","a","b"
"5","6",2.30495708612839,0.0212,0.0794,"No","ab","a"
"2","6",2.02642837176712,0.0427,0.1282,"No","ab","a"
"4","5",1.89806082506105,0.0577,0.1442,"No","b","ab"
"2","4",-1.79451573775274,0.0727,0.1559,"No","ab","b"
"3","5",-1.71937308802268,0.0855,0.1604,"No","a","ab"
"2","3",1.51593940725603,0.1295,0.2159,"No","ab","a"
"1","6",1.35746524477821,0.1746,0.262,"No","a","a"
"1","5",-1.10748251964532,0.2681,0.3656,"No","a","ab"
"1","3",0.854915235120182,0.3926,0.453,"No","a","a"
"1","2",-0.883181360198455,0.3771,0.4714,"No","a","ab"
"3","6",0.363696805174014,0.7161,0.7672,"No","a","a"
"2","5",-0.0904133761114929,0.928,0.928,"No","ab","ab"
