"metric","moran_i","expected_i","sd","p_value","sig"
"p450",0.161177079209195,-0.0136986301369863,NA,0.00787311763093506,"**"
"sod",-0.0565334934983892,-0.0136986301369863,NA,0.725900241362416,""
"shell",0.00157635681333415,-0.0136986301369863,NA,0.417076071484723,""
"ci1",-0.0300027146041216,-0.0136986301369863,NA,0.590842070778272,""
"ci2",-0.0556980227307616,-0.0136986301369863,NA,0.716454262126706,""
"ci3",-0.056975599238978,-0.0136986301369863,NA,0.721964888477161,""
"ibr1bio",0.170447431082971,-0.0136986301369863,NA,0.00524273857605909,"**"
"ibr1morph",0.140457795544061,-0.0136986301369863,NA,0.017893927900063,"*"
"ibr1overall",0.245839875085939,-0.0136986301369863,NA,0.000192797219198881,"***"
