"Group1","Group2","Z","P.unadj","P.adj","Significant","Group1_CLD","Group2_CLD"
"11","13",4.25316301615014,0,8e-04,"Yes","a","b"
"10","13",3.78182400813531,2e-04,0.0028,"Yes","a","b"
"13","7",-2.57228825235209,0.0101,0.1212,"No","b","ab"
"11","12",2.23196985959937,0.0256,0.2306,"No","a","ab"
"10","12",1.92587700420303,0.0541,0.3897,"No","a","ab"
"11","9",1.52094260551357,0.1283,0.4198,"No","a","ab"
"11","8.1",1.61426602391689,0.1065,0.4259,"No","a","ab"
"13","9",-1.73345608910927,0.083,0.4269,"No","b","ab"
"13","6",-1.6462135118172,0.0997,0.4487,"No","b","ab"
"12","7",-1.53330840701885,0.1252,0.4507,"No","ab","ab"
"11","8.2",1.74626825580788,0.0808,0.4846,"No","a","ab"
"10","8.1",1.30037849001743,0.1935,0.5358,"No","a","ab"
"12","6",-1.25645002553491,0.209,0.5373,"No","ab","ab"
"10","8.2",1.33461088731716,0.182,0.546,"No","a","ab"
"11","7",1.14203337965238,0.2534,0.5702,"No","a","ab"
"12","9",-1.15797275481805,0.2469,0.5925,"No","ab","ab"
"10","9",1.03824047824147,0.2992,0.5983,"No","a","ab"
"13","8.2",-1.05449946039299,0.2917,0.6176,"No","b","ab"
"7","8.1",0.938490490502914,0.348,0.6594,"No","ab","ab"
"12","8.2",-0.805387266256829,0.4206,0.6882,"No","ab","ab"
"7","8.2",0.833974805083448,0.4043,0.6931,"No","ab","ab"
"10","11",-0.71941940226175,0.4719,0.7078,"No","a","a"
"6","8.1",0.747078393561296,0.455,0.7122,"No","ab","ab"
"11","6",0.8430461000009,0.3992,0.7186,"No","a","ab"
"10","6",0.458269327280984,0.6468,0.7511,"No","a","ab"
"10","7",0.575901066137082,0.5647,0.7529,"No","a","ab"
"8.1","9",-0.58847795736655,0.5562,0.7701,"No","ab","ab"
"12","8.1",-0.464990554975277,0.6419,0.7703,"No","ab","ab"
"7","9",0.480340219767954,0.631,0.7833,"No","ab","ab"
"8.2","9",-0.384192144120105,0.7008,0.7884,"No","ab","ab"
"6","8.2",0.588521695740935,0.5562,0.8009,"No","ab","ab"
"13","8.1",-0.483312252680122,0.6289,0.8086,"No","b","ab"
"8.1","8.2",-0.26846242208561,0.7883,0.8347,"No","ab","ab"
"6","9",0.284958244662619,0.7757,0.8462,"No","ab","ab"
"12","13",-0.131812432549124,0.8951,0.9207,"No","ab","b"
"6","7",-0.0774984258292131,0.9382,0.9382,"No","ab","ab"
