"Group1","Group2","Diff","Lower","Upper","P.adj","Significant","Group1_CLD","Group2_CLD"
"7","6","0.0201388891111112","-0.19161011640272","0.231887894624943","0.999997457053267","No","a","a"
"8.1","6","-0.0357638886666666","-0.325713155789695","0.254185378456362","0.999980783260578","No","a","a"
"8.2","6","0.0837152780833333","-0.158873683441355","0.326304239608022","0.971095936912156","No","a","a"
"9","6","0.0470138891666666","-0.17757984739584","0.271607625729173","0.998981947140318","No","a","a"
"10","6","0.031716374491228","-0.165610642631644","0.2290433916141","0.999855147137106","No","a","a"
"11","6","0.127394444666667","-0.0734883002431115","0.328277189576445","0.525662956181279","No","a","a"
"12","6","-0.0524305551666667","-0.342379822289695","0.237518711956362","0.99965086350417","No","a","a"
"13","6","0.102182539904762","-0.0998923979339433","0.304257477743467","0.789043786506571","No","a","a"
"8.1","7","-0.0559027777777777","-0.304200495925031","0.192394940369476","0.998285900652466","No","a","a"
"8.2","7","0.0635763889722222","-0.127291585254934","0.254444363199379","0.97668440509566","No","a","a"
"9","7","0.0268750000555554","-0.14052728736926","0.194277287480371","0.999856421529688","No","a","a"
"10","7","0.0115774853801168","-0.116949286222386","0.14010425698262","0.999998339013028","No","a","a"
"11","7","0.107255555555555","-0.0266662743842966","0.241177385495408","0.219685261711312","No","a","a"
"12","7","-0.0725694442777779","-0.320867162425031","0.175728273869476","0.989814472336112","No","a","a"
"13","7","0.0820436507936507","-0.0536599226098093","0.217747224197111","0.589482929188942","No","a","a"
"8.2","8.1","0.11947916675","-0.155590860251604","0.394549193751604","0.896205687895207","No","a","a"
"9","8.1","0.0827777778333332","-0.176560730692001","0.342116286358668","0.982100335579257","No","a","a"
"10","8.1","0.0674802631578946","-0.168638493377131","0.30359901969292","0.991206052947909","No","a","a"
"11","8.1","0.163158333333333","-0.075939957550402","0.402256624217068","0.424606866977072","No","a","a"
"12","8.1","-0.0166666665000001","-0.334290174770747","0.300956841770747","0.999999976842024","No","a","a"
"13","8.1","0.137946428571428","-0.102154375266361","0.378047232409218","0.653688890581858","No","a","a"
"9","8.2","-0.0367013889166667","-0.24172648189943","0.168323704066096","0.999676042462912","No","a","a"
"10","8.2","-0.0519989035921053","-0.226729822253034","0.122732015068823","0.988545939438068","No","a","a"
"11","8.2","0.0436791665833333","-0.135057565657046","0.222415898823712","0.996952753316324","No","a","a"
"12","8.2","-0.13614583325","-0.411215860251604","0.138924193751604","0.807675480469652","No","a","a"
"13","8.2","0.0184672618214285","-0.161608341056914","0.198542864699771","0.999995416004241","No","a","a"
"10","9","-0.0152975146754386","-0.16403835031103","0.133443320960153","0.999995312469541","No","a","a"
"11","9","0.0803805555","-0.0730461752265939","0.233807286226594","0.755589185340168","No","a","a"
"12","9","-0.0994444443333333","-0.358782952858668","0.159894064192001","0.946648820818882","No","a","a"
"13","9","0.0551686507380953","-0.0998157517077004","0.210153053183891","0.965232980214715","No","a","a"
"11","10","0.0956780701754386","-0.0140277495651397","0.205383889916017","0.135868454724477","No","a","a"
"12","10","-0.0841469296578947","-0.32026568619292","0.15197182687713","0.964994555261943","No","a","a"
"13","10","0.0704661654135339","-0.0414077376424598","0.182340068469528","0.534910955859922","No","a","a"
"12","11","-0.179824999833333","-0.418923290717068","0.0592732910504018","0.294637547730354","No","a","a"
"13","11","-0.0252119047619047","-0.143244509159413","0.0928206996356032","0.998822643763017","No","a","a"
"13","12","0.154613095071429","-0.0854877087663612","0.394713898909218","0.504735402413182","No","a","a"
