"Group1","Group2","Z","P.unadj","P.adj","Significant","Group1_CLD","Group2_CLD"
"2","6",3.61498356887736,3e-04,0.0045,"Yes","a","b"
"1","6",3.40485532336929,7e-04,0.005,"Yes","a","b"
"3","6",2.54742825315535,0.0109,0.0543,"No","ab","b"
"5","6",2.20806755365103,0.0272,0.0817,"No","ab","b"
"2","4",2.28353075790766,0.0224,0.084,"No","a","ab"
"2","5",1.94087907555443,0.0523,0.112,"No","a","ab"
"1","4",1.97806916203715,0.0479,0.1198,"No","a","ab"
"1","5",1.57493655120298,0.1153,0.2161,"No","a","ab"
"3","4",1.33817684554415,0.1808,0.2713,"No","ab","ab"
"4","6",1.35705875688064,0.1748,0.2913,"No","ab","b"
"3","5",0.888995878477622,0.374,0.51,"No","ab","ab"
"2","3",0.684480876136082,0.4937,0.5696,"No","a","ab"
"4","5",-0.689175470568699,0.4907,0.6134,"No","ab","ab"
"1","2",-0.496208547331631,0.6197,0.664,"No","a","a"
"1","3",0.303339555733165,0.7616,0.7616,"No","a","ab"
