"analyte","corr_lat","p_lat","corr_long","p_long","lat_sig","long_sig"
"1_7_dimethylphenanthrene",-0.12850055534987,0.274568185952368,0.497904479822288,8.50716948353346e-06,"","***"
"2_3_5_trimethylnaphthalene",0.0172232506479082,0.884010309824655,-0.195053683820807,0.0958238050782825,"",""
"2_6_dimethylnaphthalene",0.00510921880784894,0.965552868994955,-0.140999629766753,0.230270479396495,"",""
"2_methylnaphthalene",-0.224701962236209,0.0544422202768654,0.170559052202888,0.146013314461979,"",""
"3_methylphenanthrene",0.0291595705294335,0.804826885682702,0.557971121806738,4.00516631876604e-07,"","***"
"9_methylphenanthrene",-0.133565346168086,0.255973373288104,0.282636060718252,0.0149533689178366,"","*"
"BDE028",-0.086856719733432,0.460987872648997,0.0155349870418364,0.895321672892706,"",""
"BDE047",-0.437571269900037,0.000113348416985493,0.599022584228064,3.44550866496743e-08,"***","***"
"BDE049",-0.114520547945205,0.330507558352492,0.0297519437245465,0.800941190270126,"",""
"BDE066",-0.13993335801555,0.233841627518333,0.0177860051832655,0.880244906824433,"",""
"BDE085",-0.114520547945205,0.330507558352492,0.0297519437245465,0.800941190270126,"",""
"BDE099",-0.360977415771936,0.00168329503377893,0.413076638282118,0.000287151319466351,"**","***"
"BDE100",-0.149529803776379,0.203070958277164,0.0698259903739356,0.553619509033639,"",""
"BDE153",-0.119555720103665,0.309577247659876,-0.00271010736764161,0.981771049083724,"",""
"BDE154",-0.119407626804887,0.310180263287901,0.032299148463532,0.784289005108247,"",""
"BDE155",-0.122399111440207,0.298147249504362,-0.00975934838948537,0.934163400341136,"",""
"BDE183",-0.128115512773047,0.2760180370295,-0.00943354313217327,0.936359943625755,"",""
"Br5DE04",-0.114520547945205,0.330507558352492,0.0297519437245465,0.800941190270126,"",""
"Br5DE05",-0.114520547945205,0.330507558352492,0.0297519437245465,0.800941190270126,"",""
"Br6DE01",-0.119407626804887,0.310180263287901,0.032299148463532,0.784289005108247,"",""
"Br7DE01",-0.128115512773047,0.2760180370295,-0.00943354313217327,0.936359943625755,"",""
"C1_benzanthracenes_chrysenes",-0.13258793039615,0.2594930622112,0.551099592743428,5.8354775162527e-07,"","***"
"C1_dibenzothiophenes",0.0200962606442058,0.864815740437904,-0.050958904109589,0.665688111271767,"",""
"C1_fluoranthenes_pyrenes",-0.0541281007034432,0.646247774112057,0.554653831914106,4.8077416119488e-07,"","***"
"C1_fluorenes",-0.183087745279526,0.118312934136047,0.235098111810441,0.043989039364201,"","*"
"C1_naphthalenes",-0.222510181414291,0.0568878260971938,0.165701592002962,0.157977236531014,"",""
"C1_phenanthrenes_anthracenes",-0.0166308774527953,0.887976678563663,0.586286560533136,7.74331383044408e-08,"","***"
"C2_benzanthracenes_chrysenes",-0.104124398370974,0.376500786778246,0.468611625323954,3.16265203897419e-05,"","***"
"C2_dibenzothiophenes",-0.0848722695298038,0.471322863279449,0.235423917067753,0.0436904971738698,"","*"
"C2_fluoranthenes_pyrenes",-0.0358533876342096,0.761216477256235,0.521925212884117,2.66471888411314e-06,"","***"
"C2_fluorenes",-0.119555720103665,0.309577247659876,0.459518696778971,4.65154844218236e-05,"","***"
"C2_naphthalenes",-0.00484265087004813,0.967354317401911,0.505871899296557,5.83873433578385e-06,"","***"
"C2_phenanthrenes_anthracenes",-0.0211032950758978,0.858105698497714,0.564427989633469,2.79212303054485e-07,"","***"
"C3_benzanthracenes_chrysenes",-0.0249537208441318,0.832546598766335,0.256749352091818,0.0274976175553527,"","*"
"C3_dibenzothiophenes",-0.0490929285449833,0.677239664541123,0.208589411329137,0.0745976585270328,"",""
"C3_fluoranthenes_pyrenes",-0.112476860422066,0.339254044872817,0.331329137356535,0.00409834273360273,"","**"
"C3_fluorenes",-0.0798667160310996,0.497941456721717,0.469440947797112,3.0517726403591e-05,"","***"
"C3_naphthalenes",0.00232506479081822,0.984374829906011,0.612795261014439,1.29639759041609e-08,"","***"
"C3_phenanthrenes_anthracenes",-0.0346982599037393,0.768693236590733,0.548226582747131,6.81487954413133e-07,"","***"
"C4_benzanthracenes_chrysenes",0.141473528322843,0.228695615197789,-0.0236504998148834,0.841179272691913,"",""
"C4_dibenzothiophenes",-0.0500999629766753,0.670995999805003,0.18027397260274,0.124150460176443,"",""
"C4_fluoranthenes_pyrenes",0.0323583857830433,0.783902867640453,0.14040725657164,0.232249710225303,"",""
"C4_naphthalenes",0.0452128841169937,0.701497569223116,0.537445390596075,1.20636562796675e-06,"","***"
"C4_phenanthrenes_anthracenes",-0.0130174009626064,0.912227796418711,0.518193261754906,3.2078624466657e-06,"","***"
"Endosulfan_1",-0.114342835986672,0.331262369749515,-0.00111069974083673,0.992587698894816,"",""
"Oxychlordane",-0.103887449092929,0.377592396058765,0.0238282117734172,0.840000958362444,"",""
"PCB011",-0.134453905960755,0.252802105495439,-0.00697519437245464,0.952948081330138,"",""
"PCB017",-0.202547204738986,0.0835518392912095,-0.0172232506479082,0.884010309824653,"",""
"PCB018",-0.110196223620881,0.349185475718444,0.37788967049241,0.000976587548604208,"","***"
"PCB028",-0.0301369863013699,0.798418079129195,0.401258793039615,0.000439358551564103,"","***"
"PCB031",-0.0968085894113291,0.411083229673753,0.372350981118104,0.00117075771593475,"","**"
"PCB033",-0.108893002591633,0.354941316468035,0.307604590892262,0.00789511115085121,"","**"
"PCB044",-0.261517956312477,0.0246758853275098,0.227930396149574,0.0509976553366982,"*",""
"PCB049",-0.150211032950759,0.201002581220999,0.256512402813773,0.02764469083886,"","*"
