"Group1","Group2","Z","P.unadj","P.adj","Significant","Group1_CLD","Group2_CLD"
"10","13",3.74229958975184,2e-04,0.0066,"Yes","a","c"
"10","7",3.12737968428479,0.0018,0.0212,"Yes","a","bc"
"11","13",3.19497893785795,0.0014,0.0252,"Yes","ab","c"
"10","6",2.6758303356423,0.0075,0.0537,"No","a","abc"
"11","7",2.69110747723817,0.0071,0.0641,"No","ab","bc"
"11","6",2.42160989087364,0.0155,0.0927,"No","ab","abc"
"10","12",2.23622056209188,0.0253,0.114,"No","a","abc"
"10","8.1",2.23622056209188,0.0253,0.1303,"No","a","abc"
"11","12",2.03455926088536,0.0419,0.1508,"No","ab","abc"
"11","8.1",2.03455926088536,0.0419,0.1676,"No","ab","abc"
"10","9",1.87805959081078,0.0604,0.1976,"No","a","abc"
"11","9",1.549861457027,0.1212,0.3356,"No","ab","abc"
"13","8.2",-1.49650717623799,0.1345,0.3459,"No","c","abc"
"6","8.2",-1.5616225344329,0.1184,0.3551,"No","abc","abc"
"12","8.2",-1.37722162262129,0.1684,0.379,"No","abc","abc"
"7","8.2",-1.32432266797148,0.1854,0.3926,"No","bc","abc"
"8.1","8.2",-1.37722162262129,0.1684,0.4043,"No","abc","abc"
"6","9",-1.10719679611078,0.2682,0.5364,"No","abc","abc"
"12","9",-0.958860552420678,0.3376,0.6077,"No","abc","abc"
"13","9",-0.898938902245185,0.3687,0.632,"No","c","abc"
"8.1","9",-0.958860552420678,0.3376,0.6397,"No","abc","abc"
"10","8.2",0.853776942746181,0.3932,0.6435,"No","a","abc"
"7","9",-0.732414493086382,0.4639,0.7261,"No","bc","abc"
"12","13",-0.455425201419492,0.6488,0.7534,"No","abc","c"
"12","7",-0.507703433617739,0.6117,0.7593,"No","abc","bc"
"6","7",-0.595335046589278,0.5516,0.7638,"No","abc","bc"
"13","8.1",0.455425201419492,0.6488,0.7786,"No","c","abc"
"13","6",0.5411257730342,0.5884,0.7846,"No","c","abc"
"7","8.1",0.507703433617739,0.6117,0.7864,"No","bc","abc"
"11","8.2",0.602155201724229,0.5471,0.7878,"No","ab","abc"
"8.2","9",0.634863379303605,0.5255,0.7883,"No","abc","abc"
"10","11",0.378776409292483,0.7049,0.793,"No","a","ab"
"13","7",-0.123162910856528,0.902,0.984,"No","c","bc"
"12","6",0,1,1,"No","abc","abc"
"12","8.1",0,1,1,"No","abc","abc"
"6","8.1",0,1,1,"No","abc","abc"
