"class","moran_i","expected_i","p_value"
"chlordane",0.481684815160579,-0.0136986301369863,4.11806526902716e-12
"ddt",0.679870703825875,-0.0136986301369863,1.49462650428912e-22
"hch",0.241248276257428,-0.0136986301369863,0.000107244214074855
"hmw",0.250631339217116,-0.0136986301369863,7.17956391985595e-06
"lmw",0.15044638037723,-0.0136986301369863,0.00127547320133391
"pbde",0.469501125260356,-0.0136986301369863,1.26596358378533e-11
"pbde_congener",-0.0351063818407021,-0.0136986301369863,0.616651585613321
"pcb",0.609438978969796,-0.0136986301369863,3.8477058875343e-18
"pesticide",0.274413209887423,-0.0136986301369863,2.28213405781678e-05
