"Metric","Compared_With","Spearman_Rho","P_Value"
"p450","a1",0.15231395779341,0.194713106239727
"p450","a2",0.0895816364309515,0.44700197761444
"p450","a3",0.112595335061088,0.338743047355252
"p450","a4",0.191647537948908,0.101851887305504
"p450","a5",0.144998148833765,0.217219140004251
"p450","a6",0.106345797852647,0.366360396587117
"p450","a7",0.129063309885228,0.272458396105981
"p450","a8",0.105723805997779,0.369182659906707
"p450","a9",0.121036653091448,0.303589042451839
"p450","a10",0.106168085894113,0.367165402747551
"p450","a11",0.171210662717512,0.144461766024577
"p450","a12",0.134424287301,0.252907378406278
"p450","a13",0.128470936690115,0.27467953087596
"p450","a14",0.134424287301,0.252907378406278
"p450","a15",0.241466123657904,0.0384519784723857
"p450","a16",0.0497445390596075,0.673197121417663
"p450","a17",0.134424287301,0.252907378406278
"p450","a18",0.134424287301,0.252907378406278
"p450","a19",0.129063309885228,0.272458396105981
"p450","a20",0.121036653091448,0.303589042451839
"p450","a21",0.0973121066271751,0.408645214845313
"p450","a22",0.0322102924842651,0.78486830930929
"p450","a23",0.116534616808589,0.322029685470011
"p450","a24",0.0769344687152906,0.513892565581886
"p450","a25",0.0750092558311736,0.524506002477934
"p450","a26",-0.0560829322473158,0.634372978169841
"p450","a27",0.0610588670862643,0.604566736039304
"p450","a28",0.107115883006294,0.362884572335127
"p450","a29",0.0350536838208071,0.766390403124037
"p450","a30",0.0866493891151425,0.462061780664632
"p450","a31",0.116860422065901,0.320671509359796
"p450","a32",0.116445760829322,0.322400737465803
"p450","a33",0.0712476860422066,0.545557139440575
"p450","a34",0.114846353202518,0.329126585134779
"p450","a35",0.119141058867086,0.311267613581031
"p450","a36",0.087360236949278,0.458385536112726
"p450","a37",-0.115053683820807,0.32824970307044
"p450","a38",-0.00753794890781192,0.949148768046133
"p450","a39",0.088456127360237,0.452749757589961
"p450","a40",0.0112699000370233,0.923986131446024
"p450","a41",0.116534616808589,0.322029685470011
"p450","a42",0.11244724176231,0.339381870256503
"p450","a43",0.117600888559793,0.317598468846884
"p450","a44",0.119437245464643,0.310059599141121
"p450","a45",0.1019029988893,0.38680979498049
"p450","a46",0.117600888559793,0.317598468846884
"p450","a47",0.121332839689004,0.302400553720687
"p450","a48",0.11244724176231,0.339381870256503
"p450","a49",0.128204368752314,0.275683000757268
"p450","a50",-0.179503887449093,0.125786017790269
"p450","a51",-0.130159200296187,0.268381262401951
"p450","a52",-0.103502406516105,0.379370350431908
"p450","a53",0.0711884487226953,0.545891923370346
"p450","a54",0.066271751203258,0.574023138316116
"p450","a55",0.0315586819696409,0.789120105855276
"p450","a56",-0.0305220288781933,0.795897038587404
"p450","a57",-0.160014809329878,0.172894786805164
"p450","a58",0.0573565346168086,0.626685666229125
"p450","a59",0.11244724176231,0.339381870256503
"p450","a60",-0.050040725657164,0.671362661128759
"p450","a61",0.0398815253609774,0.735319022326286
"p450","a62",0.0727286190299889,0.537220275095151
"p450","a63",0.134424287301,0.252907378406278
"p450","a64",0.0504850055534987,0.668614583563312
"p450","a65",0.106908552388004,0.363818366299733
"p450","a66",0.11244724176231,0.339381870256503
"p450","a67",0.106908552388004,0.363818366299733
"p450","a68",0.115734912995187,0.325379031125
"p450","a69",0.0842502776749352,0.47458788641663
"p450","a70",0.126782673084043,0.281076380930055
"p450","a71",0.119141058867086,0.311267613581031
"p450","a72",0.0608811551277305,0.605620534385452
"p450","a73",0.128085894113291,0.276129776497471
"p450","a74",0.187115883006294,0.11032761445274
"p450","a75",0.121125509070715,0.303232175530305
"p450","a76",-0.00697519437245464,0.952948081330138
"p450","a77",0.0843983709737134,0.473809392807725
"p450","a78",0.0711588300629396,0.546059352927506
"p450","a80",0.0868863383931877,0.460834569391872
"p450","a81",0.181725286930766,0.121112505431271
"p450","a82",0.0910921880784894,0.439352463723249
"p450","a83",0.0459237319511292,0.697030026303439
"p450","a84",-0.105249907441688,0.371341861661944
