"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"SumBDEs",1,138.31103666149,138.31103666149,1.33486903572565,0.26155796329157
"SumDDTs",1,1433.76965838965,1433.76965838965,13.8376138849386,0.00135304330507784
"SumPAHs16",1,1159.0029000687,1159.0029000687,11.1857818505434,0.00322867396016892
"SumPAHsHMW",1,517.463719499403,517.463719499403,4.99415168119767,0.0370039569723203
"SumPCBs2x17",1,257.986209876935,257.986209876935,2.48987941614367,0.130267002200198
"Residuals",20,2072.27874734997,103.613937367499,NA,NA
