"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"SumBDEs",1,1179115966143.02,1179115966143.02,0.75748206168819,0.394444146140136
"SumDDTs",1,12914624014434.6,12914624014434.6,8.29655123438059,0.00925019409206099
"SumPAHs16",1,612903526.087632,612903526.087632,0.000393738563370881,0.984365367113565
"SumPAHsHMW",1,2174371993190.42,2174371993190.42,1.3968496972071,0.251114144528977
"SumPCBs2x17",1,141260936899.017,141260936899.017,0.0907481781188045,0.766337794894202
"Residuals",20,31132511930781.3,1556625596539.07,NA,NA
