"Metric","Analyte","Spearman_r","Spearman_p","Kendall_tau","Kendall_p","Spearman_sig","Kendall_sig"
"p450","chlordane",0.196733413065987,0.0929544620498181,0.157125138307743,0.0891025627080095,"",""
"p450","ddt",0.0144580817965985,0.902691473257814,0.0119071269719904,0.881243925918034,"",""
"p450","hch",-0.107643077235905,0.361309660819418,-0.087165134814266,0.344719903976157,"",""
"p450","pah_lmw",-0.0830359126249537,0.48099753887758,-0.0573861532765642,0.469468503378562,"",""
"p450","pah_hmw",-0.019918548685672,0.866000876254281,-0.0225842280636801,0.775896283084747,"",""
"p450","pah_add",0.0487981873057385,0.67969643357499,0.0303760002441237,0.701951376848825,"",""
"p450","total_pah",-0.118400592373195,0.314300997734685,-0.0788596815994076,0.320215662252425,"",""
"p450","pbde",-0.031121403934984,0.792379171951401,-0.0241358084811894,0.77550917772519,"",""
"p450","pcb",-0.13993335801555,0.233841627518333,-0.090707145501666,0.252893155133198,"",""
"p450","pesticide",0.0110960568510486,0.925244428393407,0.00833526430263559,0.927145531590171,"",""
"p450","mixture_index_sum",-0.106553128470937,0.365422593333032,-0.0714550166604961,0.367758444598329,"",""
"p450","heavy_metal_ng",0.0863532025175861,0.463598316334099,0.0447982228804147,0.572294791217735,"",""
"p450","nutrient_metal_ng",-0.206338393187708,0.0778388422198469,-0.140318400592373,0.0769451209687142,"",""
"p450","mixture_index_pca",-0.0331580895964458,0.778695173780401,-0.0225842280636801,0.775896283084747,"",""
"sod","chlordane",0.102020382357634,0.387076529851551,0.0776277343911069,0.401177595250284,"",""
"sod","ddt",0.198937839538258,0.0892771863130573,0.137380373265008,0.0849336373843575,"",""
"sod","hch",0.152811318481046,0.193668844156187,0.122604601235702,0.184061809477782,"",""
"sod","pah_lmw",0.19950239186513,0.0883541358429786,0.128171903469107,0.10636372236672,"",""
"sod","pah_hmw",0.172815188974404,0.140911139311426,0.110390830155474,0.164303402980263,"",""
"sod","pah_add",0.0480591223471216,0.684289352121779,0.0233506300963677,0.768736624534863,"",""
"sod","total_pah",0.233920293928419,0.0448643772761352,0.151139123165884,0.0568965919168486,"*",""
"sod","pbde",0.209752319615481,0.0728691472327198,0.154888122979893,0.0673806114078625,"",""
"sod","pcb",0.191653214544328,0.101881927789287,0.125949269304903,0.112568450909066,"",""
"sod","pesticide",0.151798553858649,0.196673919811014,0.119538525819825,0.189980753962812,"",""
"sod","mixture_index_sum",0.0926351021539891,0.432453149474928,0.0600111224335127,0.449624348287865,"",""
"sod","heavy_metal_ng",0.150274721272027,0.201258195960358,0.103722927662862,0.191301607248205,"",""
"sod","nutrient_metal_ng",0.0118033855182621,0.920494072027046,0.00222263416420418,0.977660926922175,"",""
