"Group1","Group2","Z","P.unadj","P.adj","Significant","Group1_CLD","Group2_CLD"
"12","13",-4.57267430368981,0,2e-04,"Yes","c","b"
"12","8.2",-3.9070404610659,1e-04,0.0011,"Yes","c","ab"
"11","12",3.93367840019098,1e-04,0.0015,"Yes","ab","c"
"10","13",-3.11205591812017,0.0019,0.0167,"Yes","a","b"
"10","12",3.0441872833902,0.0023,0.0168,"Yes","a","c"
"12","7",-2.78643358731282,0.0053,0.0274,"Yes","c","a"
"13","7",2.72212117046034,0.0065,0.0292,"Yes","b","a"
"12","9",-2.8076322135255,0.005,0.0299,"Yes","c","ab"
"12","6",-2.59932845233592,0.0093,0.0374,"Yes","c","ab"
"12","8.1",-2.37259109668226,0.0177,0.0636,"No","c","abc"
"13","9",2.21259117391157,0.0269,0.0881,"No","b","ab"
"10","8.2",-1.97740959475573,0.048,0.144,"No","a","ab"
"7","8.2",-1.9064110970577,0.0566,0.1567,"No","a","ab"
"13","6",1.84141220197653,0.0656,0.1573,"No","b","ab"
"10","11",-1.85831827619891,0.0631,0.1623,"No","a","ab"
"11","7",1.66802487404454,0.0953,0.2144,"No","ab","a"
"8.2","9",1.61836292171568,0.1056,0.2236,"No","ab","ab"
"6","8.2",-1.43523291202465,0.1512,0.3024,"No","ab","ab"
"11","9",1.25927529557427,0.2079,0.3743,"No","ab","ab"
"11","13",-1.2690852533305,0.2044,0.3873,"No","ab","b"
"13","8.1",1.17575949756465,0.2397,0.4109,"No","b","abc"
"11","6",1.03672150911718,0.2999,0.4907,"No","ab","ab"
"8.1","8.2",-0.977926280596445,0.3281,0.5136,"No","abc","ab"
"11","8.2",-0.7622364180257,0.4459,0.6689,"No","ab","ab"
"11","8.1",0.565803988035401,0.5715,0.823,"No","ab","abc"
"10","6",-0.0894040053954514,0.9288,0.9553,"No","a","ab"
"10","9",-0.0946669342857737,0.9246,0.979,"No","a","ab"
"10","7",0.150725997899811,0.8802,0.9902,"No","a","a"
"6","9",0.00972809573675014,0.9922,0.9922,"No","ab","ab"
"6","8.1",-0.17920022937644,0.8578,0.9961,"No","ab","abc"
"13","8.2",0.106502269400524,0.9152,0.9984,"No","b","ab"
"6","7",0.182861627471779,0.8549,1,"No","ab","a"
"10","8.1",-0.275017438356106,0.7833,1,"No","a","abc"
"7","8.1",-0.339338145647187,0.7344,1,"No","a","abc"
"7","9",-0.2017257600704,0.8401,1,"No","a","ab"
"8.1","9",0.199570298269578,0.8418,1,"No","abc","ab"
