"Group1","Group2","Z","P.unadj","P.adj","Significant","Group1_CLD","Group2_CLD"
"11","7",3.18629040439897,0.0014,0.0259,"Yes","a","b"
"13","7",3.37409085745193,7e-04,0.0267,"Yes","a","b"
"7","8.1",-2.2958391439017,0.0217,0.1952,"No","b","ab"
"10","7",2.32324995678812,0.0202,0.242,"No","ab","b"
"12","7",2.1142867620397,0.0345,0.2483,"No","ab","b"
"13","8.2",1.97954599207407,0.0478,0.2865,"No","a","ab"
"11","8.2",1.79749875090209,0.0723,0.3252,"No","a","ab"
"6","7",1.81778976494619,0.0691,0.3554,"No","ab","b"
"8.1","8.2",1.68664202896497,0.0917,0.3667,"No","ab","ab"
"7","9",-1.60412504520268,0.1087,0.3913,"No","b","ab"
"10","13",-1.42405350816654,0.1544,0.4633,"No","ab","a"
"12","8.2",1.45807464732769,0.1448,0.474,"No","ab","ab"
"6","8.2",1.0635420907557,0.2875,0.5448,"No","ab","ab"
"13","9",1.28235840394956,0.1997,0.5531,"No","a","ab"
"10","11",-1.14284293327125,0.2531,0.5695,"No","ab","a"
"11","9",1.06437722198601,0.2872,0.5743,"No","a","ab"
"10","8.2",1.0933811244713,0.2742,0.5807,"No","ab","ab"
"10","8.1",-1.15873561881975,0.2466,0.5918,"No","ab","ab"
"8.1","9",1.19873995539204,0.2306,0.593,"No","ab","ab"
"12","9",0.921898824274654,0.3566,0.6418,"No","ab","ab"
"10","12",-0.859231904096544,0.3902,0.6689,"No","ab","ab"
"6","8.1",-0.811201038337994,0.4173,0.6828,"No","ab","ab"
"8.2","9",-0.756729507452354,0.4492,0.7031,"No","ab","ab"
"13","6",0.602980446115559,0.5465,0.7567,"No","a","ab"
"7","8.2",-0.621067786533487,0.5346,0.7698,"No","b","ab"
"11","8.1",-0.632314824179971,0.5272,0.7908,"No","a","ab"
"12","6",0.520071931814896,0.603,0.804,"No","ab","ab"
"13","8.1",-0.477112205915988,0.6333,0.8142,"No","a","ab"
"11","6",0.40836788673534,0.683,0.8196,"No","a","ab"
"11","12",-0.280867877381362,0.7788,0.8246,"No","a","ab"
"10","9",0.239059640912996,0.8111,0.8342,"No","ab","ab"
"6","9",0.419817648777328,0.6746,0.8375,"No","ab","ab"
"10","6",-0.288155986620727,0.7732,0.8435,"No","ab","ab"
"12","8.1",-0.298545690816212,0.7653,0.8609,"No","ab","ab"
"11","13",-0.310341039573096,0.7563,0.8783,"No","a","a"
"12","13",0.112783099692541,0.9102,0.9102,"No","ab","a"
