"Metric","Analyte","Spearman_r","Spearman_p","Kendall_tau","Kendall_p","Spearman_sig","Kendall_sig"
"p450","ibr1bio",0.951040355423917,0,0.838578304331729,4.09806342761583e-26,"***","***"
"p450","ibr1morph",0.125360977415772,0.286539800912194,0.0840429470566457,0.289440818729235,"",""
"p450","ibr1overall",0.767611995557201,0,0.58237689744539,2.12359024400364e-13,"***","***"
"sod","ibr1bio",-0.0637837837837838,0.588511033965709,-0.0336912254720474,0.671075076549831,"",""
"sod","ibr1morph",-0.137326915957053,0.242733187590094,-0.0862643465383191,0.276882370077024,"",""
"sod","ibr1overall",-0.0877452795261014,0.456400998057492,-0.0618289522399111,0.435776550337215,"",""
"shell","ibr1bio",0.204240005381872,0.0809017405374437,0.13483980596172,0.0893667781619723,"",""
"shell","ibr1morph",0.40645108749949,0.000326456380697093,0.26967961192344,0.000680058538504594,"***","***"
"shell","ibr1overall",0.379971417452156,0.000840289752063926,0.268938733868705,0.000703629155173948,"***","***"
"ci1","ibr1bio",-0.117646187683253,0.3181468936922,-0.091094243368467,0.250956347028115,"",""
"ci1","ibr1morph",-0.0665832401591016,0.572995408249491,-0.044436216277301,0.575469590986256,"",""
"ci1","ibr1overall",-0.119452939306787,0.310719161096726,-0.0792445856945201,0.317943718063392,"",""
"ci2","ibr1bio",-0.201052951156576,0.0858576688783077,-0.142195892087363,0.0731255664615532,"",""
"ci2","ibr1morph",-0.103058889739143,0.38223659305705,-0.0673949280205732,0.395683658153476,"",""
"ci2","ibr1overall",-0.181237921055846,0.122260850562644,-0.13627106325039,0.0859102009831038,"",""
"ci3","ibr1bio",-0.0613744077512184,0.603436972129234,-0.0363434587298217,0.647391978910894,"",""
"ci3","ibr1morph",0.235530213915933,0.0433699219613163,0.178750480691572,0.0244741174885122,"*","*"
"ci3","ibr1overall",0.0932020144735563,0.429629524621868,0.077137136895948,0.33165619469372,"",""
