"Group1","Group2","Diff","Lower","Upper","P.adj","Significant","Group1_CLD","Group2_CLD"
"Raft Island Park","Aiston Preserve","-0.0186040957499986","-2.95178156028845","2.91457336878845","1","No","abc","abc"
"Reach Island","Aiston Preserve","0.45448404925","-2.47869341528845","3.38766151378845","1","No","abc","abc"
"Rich Passage","Aiston Preserve","0.0394857850000015","-2.89369167953845","2.97266324953845","1","No","abc","abc"
"Rocky Point","Aiston Preserve","0.652779629250002","-2.28039783528845","3.58595709378845","1","No","abc","abc"
"Salmon Bay, Commodore Park","Aiston Preserve","0.133536699750001","-2.79964076478845","3.06671416428845","1","No","abc","abc"
"Salmon Beach","Aiston Preserve","-1.02274326375","-3.95592072828845","1.91043420078846","0.999999999651386","No","abc","abc"
"Seattle Aquarium, Pier 59","Aiston Preserve","-0.334637155749998","-3.26781462028845","2.59854030878845","1","No","abc","abc"
"Shilshole Bay","Aiston Preserve","-0.490331487","-3.42350895153845","2.44284597753845","1","No","abc","abc"
"Silverdale, Dyes Inlet","Aiston Preserve","-1.42098467","-4.35416213453845","1.51219279453845","0.999901026218055","No","ac","abc"
"Skiff Point","Aiston Preserve","0.216644618750001","-2.71653284578845","3.14982208328845","1","No","abc","abc"
"Smith Cove, Terminal 91","Aiston Preserve","-0.166456616249999","-3.09963408078845","2.76672084828845","1","No","abc","abc"
"South of Skunk Island","Aiston Preserve","-0.041095447499999","-2.97427291203845","2.89208201703845","1","No","abc","abc"
"Squaxin Island","Aiston Preserve","0.616755382750001","-2.31642208178845","3.54993284728845","1","No","abc","abc"
"Suquamish Stormwater Outfall","Aiston Preserve","-0.256403193499999","-3.18958065803845","2.67677427103845","1","No","abc","abc"
"Thea Foss Waterway","Aiston Preserve","0.118861266000001","-2.66379520482578","2.90151773682578","1","No","abc","abc"
"Three Tree Point","Aiston Preserve","0.928812221750001","-2.00436524278845","3.86198968628845","1","No","ab","abc"
