"Site","Metric","Analyte","Spearman_r","Spearman_p","Kendall_tau","Kendall_p","Spearman_sig","Kendall_sig"
"Aiston Preserve","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Arroyo Beach","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Blair Waterway","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Blair Waterway Two","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Brackenwood Lane","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Broad Spit","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Browns Point Lighthouse","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Cap Sante","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Chambers Bay Park","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Cherry Point Aquatic Reserve, Conoco Phillips","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Chimacum Creek delta","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Chuckanut, Clark's Point","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Commencement Bay Skookum","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Commencement Bay, Dick Gilmur Launch","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Commencement Bay, Milwaukee Waterway","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Des Moines Marina","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Discovery Bay","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Donkey Creek Delta","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Eagle Harbor Dr","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Eastsound, Fishing Bay","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
