"Site","Metric","Analyte","Spearman_r","Spearman_p","Kendall_tau","Kendall_p","Spearman_sig","Kendall_sig"
"Edmonds Ferry","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Edmonds Marina","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Eld Inlet","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Elliot Bay Myrtle Edwards","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Elliott Bay, Harbor Island, Pier 17","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Everett Harbor","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Fidalgo Bay Aq Reserve, Weaverling Spit","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Filucy Bay","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Friday Harbor","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Gig Harbor Boat Launch","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Hood Canal Holly","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Jamestown","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Kingston Marina","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Kitsap St Boat Launch","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Kopachuck State Park","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Lions Park","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Locust Beach","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Madrona Pont","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Manchester, Stormwater Outfall","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Maple Hollow Park","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Maristone Island","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Meyer's Point, Henderson Inlet","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Miller Creek","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Minter Bay","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Mukilteo","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"N Avenue Park","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"North Camano","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Oak Bay County Park","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Penn Cove Reference","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Penrose Point State Park","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Point Defiance Ferry","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Port Angeles Yacht Club","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Purdy, Burley Lagoon","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Purdy, Dexters","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Raft Island Park","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Reach Island","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Rich Passage","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Rocky Point","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Salmon Bay, Commodore Park","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Salmon Beach","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Seattle Aquarium, Pier 59","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Shilshole Bay","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Silverdale, Dyes Inlet","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Skiff Point","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Smith Cove, Terminal 91","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"South of Skunk Island","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Squaxin Island","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Suquamish, Stormwater Outfall","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Thea Foss Waterway","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Three Tree Point","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Tulalip Bay","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Tulalip Reservation","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"West Bay Park","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Williams Olson Park","ibr1morph","zinc",0.267134648450596,0.0214006259231725,0.186296309073821,0.0189039623077166,"*","*"
"Aiston Preserve","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Arroyo Beach","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Blair Waterway","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Blair Waterway Two","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Brackenwood Lane","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Broad Spit","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Browns Point Lighthouse","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Cap Sante","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Chambers Bay Park","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Cherry Point Aquatic Reserve, Conoco Phillips","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Chimacum Creek delta","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Chuckanut, Clark's Point","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Commencement Bay Skookum","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Commencement Bay, Dick Gilmur Launch","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Commencement Bay, Milwaukee Waterway","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Des Moines Marina","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Discovery Bay","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Donkey Creek Delta","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Eagle Harbor Dr","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Eastsound, Fishing Bay","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Edmonds Ferry","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Edmonds Marina","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Eld Inlet","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Elliot Bay Myrtle Edwards","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Elliott Bay, Harbor Island, Pier 17","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Everett Harbor","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Fidalgo Bay Aq Reserve, Weaverling Spit","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Filucy Bay","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Friday Harbor","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Gig Harbor Boat Launch","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Hood Canal Holly","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Jamestown","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Kingston Marina","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Kitsap St Boat Launch","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Kopachuck State Park","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Lions Park","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Locust Beach","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Madrona Pont","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Manchester, Stormwater Outfall","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Maple Hollow Park","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Maristone Island","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Meyer's Point, Henderson Inlet","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Miller Creek","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Minter Bay","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Mukilteo","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"N Avenue Park","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"North Camano","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Oak Bay County Park","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Penn Cove Reference","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Penrose Point State Park","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Point Defiance Ferry","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Port Angeles Yacht Club","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Purdy, Burley Lagoon","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Purdy, Dexters","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Raft Island Park","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Reach Island","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Rich Passage","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Rocky Point","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Salmon Bay, Commodore Park","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Salmon Beach","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Seattle Aquarium, Pier 59","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Shilshole Bay","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Silverdale, Dyes Inlet","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Skiff Point","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Smith Cove, Terminal 91","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"South of Skunk Island","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Squaxin Island","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Suquamish, Stormwater Outfall","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Thea Foss Waterway","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Three Tree Point","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Tulalip Bay","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Tulalip Reservation","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"West Bay Park","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
"Williams Olson Park","ibr1overall","zinc",0.235131212631673,0.043736413822591,0.151481491871159,0.0562960720912163,"*",""
