"analyte","correlation","p_value"
"avg_p450",-0.326,0.005
"sum40CB",0.247,0.034
"sumDDT",0.296,0.011
"sumPCB",0.243,0.037
"hmwPAH",0.239,0.041
"lmwPAH",0.276,0.018
"sumPAH",0.27,0.02
"sum42PAH",0.274,0.019
