"Comparison","Z","P.adjusted"
"10 - 11",-0.280211946376308,1
"10 - 12",2.17338804548782,0.535520228635534
"11 - 12",2.28599554129779,0.400581349286674
"10 - 13",0.981548625644384,1
"11 - 13",1.19781294825569,1
"12 - 13",-1.62587481585314,1
"10 - 6",-0.17846367059787,1
"11 - 6",-0.00510672843902008,1
"12 - 6",-1.93391334863561,0.956228087040311
"13 - 6",-0.781086586167132,1
"10 - 7",0.457069735437584,1
"11 - 7",0.671257632461548,1
"12 - 7",-1.79323071585428,1
"13 - 7",-0.382115419128401,1
"6 - 7",0.469444162251864,1
"10 - 8.1",0.906197958478663,1
"11 - 8.1",1.02369723195831,1
"12 - 8.1",-0.830479296615421,1
"13 - 8.1",0.434530893067401,1
"6 - 8.1",0.890630859685196,1
"7 - 8.1",0.628847718035438,1
"10 - 8.2",1.75331752041787,1
"11 - 8.2",1.89564617054742,1
"12 - 8.2",-0.688436472201134,1
"13 - 8.2",1.05793505596187,1
"6 - 8.2",1.47867874491377,1
"7 - 8.2",1.27917775662374,1
"8.1 - 8.2",0.288074000977828,1
"10 - 9",0.909502551413252,1
"11 - 9",1.08923808027168,1
"12 - 9",-1.40889788606998,1
"13 - 9",0.142895522988441,1
"6 - 9",0.803565771661252,1
"7 - 9",0.448857250647909,1
"8.1 - 9",-0.322346504555149,1
"8.2 - 9",-0.824251885934245,1
