"","correlation.site_number","correlation.p450","correlation.SOD","correlation.condition_factor","correlation.avg_thickness","p_values.site_number","p_values.p450","p_values.SOD","p_values.condition_factor","p_values.avg_thickness","region"
"site_number",1,-0.0722493652150887,-0.073685970668765,-0.0292187874667868,-0.00528198805571306,NA,0.463905251088702,0.455042737794339,0.767319697486101,0.957352059170294,"Central"
"p450",-0.0722493652150887,1,-0.210514207709311,-0.0438945112436873,0.0828012775935432,0.463905251088702,NA,0.0311208821618476,0.65659789197925,0.401050015063941,"Central"
"SOD",-0.073685970668765,-0.210514207709311,1,-0.13044438761903,0.152173917188909,0.455042737794339,0.0311208821618476,NA,0.184729877907373,0.121215250642914,"Central"
"condition_factor",-0.0292187874667868,-0.0438945112436873,-0.13044438761903,1,0.147703524987932,0.767319697486101,0.65659789197925,0.184729877907373,NA,0.132670563993074,"Central"
"avg_thickness",-0.00528198805571306,0.0828012775935432,0.152173917188909,0.147703524987932,1,0.957352059170294,0.401050015063941,0.121215250642914,0.132670563993074,NA,"Central"
