"","1","2","3","4"
"2",0.0025,NA,NA,NA
"3",0.145,0.00333333333333333,NA,NA
"4",0.883,0.0025,0.183333333333333,NA
"5",0.0025,0.0025,0.00333333333333333,0.0214285714285714
