,6,7,8.1,8.2,9,10,11,12
7,0.0072,NA,NA,NA,NA,NA,NA,NA
8.1,0.192,0.445333333,NA,NA,NA,NA,NA,NA
8.2,0.0072,0.153,0.192,NA,NA,NA,NA,NA
9,0.0072,0.680625,0.887,0.887,NA,NA,NA,NA
10,0.0072,0.887,0.440307692,0.192,0.680625,NA,NA,NA
11,0.0072,0.0072,0.123428571,0.480857143,0.165176471,0.0072,NA,NA
12,0.153,0.237272727,0.3195,0.0072,0.34704,0.192,0.041538462,NA
13,0.0072,0.019636364,0.262956522,0.884727273,0.5856,0.0072,0.502758621,0.027
