"","Df","SumOfSqs","R2","F","Pr(>F)"
"Model",17,628.099106858825,0.351285853947889,8.95085849808883,0.001
"Residual",281,1159.90089314118,0.648714146052112,NA,NA
"Total",298,1788,1,NA,NA
