"","Df","SumOfSqs","R2","F","Pr(>F)"
"Model",17,625.785066873872,0.34999164813975,8.90012574415931,0.001
"Residual",281,1162.21493312613,0.65000835186025,NA,NA
"Total",298,1788,1,NA,NA
